age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
64,4,170636,13,2,4,0,4,1,0,0,43,39,1
43,2,30280,9,2,9,0,4,1,99978,0,40,39,1
34,4,158380,12,0,5,0,4,0,99974,0,62,39,1
59,0,211299,6,2,8,5,4,0,0,0,40,39,0
36,4,214228,2,4,6,1,4,0,0,0,40,39,0
43,6,152372,11,2,4,0,4,1,0,0,64,39,1
52,3,162417,9,0,10,3,4,1,0,0,57,39,1
44,4,177016,15,2,12,0,4,1,0,0,40,39,1
42,6,124949,9,2,10,0,4,1,0,0,40,39,1
19,7,204744,9,3,4,3,4,1,0,0,25,39,0
38,4,194490,15,0,1,1,4,0,0,0,36,39,0
32,5,154080,14,3,10,3,4,0,0,0,28,39,0
36,4,199804,3,4,8,1,2,1,0,0,59,25,0
44,4,139927,9,2,12,0,4,1,0,1841,40,39,1
33,6,171505,9,2,4,5,4,0,4899,0,40,25,1
37,5,240786,10,2,10,0,4,1,100020,0,47,37,1
46,4,188494,14,2,8,0,4,1,99978,0,30,39,1
42,4,33986,14,2,7,0,4,1,99996,0,46,39,1
31,5,156134,14,4,10,1,4,0,0,0,40,39,0
20,4,117014,15,4,5,3,2,1,0,1627,40,39,0
20,4,398912,15,4,3,3,0,0,0,0,40,39,0
49,4,190316,11,4,4,1,2,0,0,0,40,39,0
39,3,206598,14,2,6,2,2,1,0,1335,40,26,0
15,0,157191,15,2,0,3,2,1,0,0,40,39,0
54,4,357901,14,2,7,0,4,1,100096,0,46,39,1
42,5,308034,9,2,4,5,4,0,12542,0,40,39,1
46,4,198168,9,0,6,2,4,0,0,0,28,39,0
30,4,120232,15,4,12,1,4,1,0,0,30,39,0
36,6,225084,11,3,8,0,4,1,0,0,21,39,0
37,5,197893,11,2,4,0,4,1,0,0,30,39,0
31,4,385254,15,2,3,0,4,1,0,1921,21,39,0
36,2,117801,13,2,6,0,4,1,99974,0,46,39,1
30,4,384438,15,2,10,4,4,0,11938,0,40,39,1
30,4,506545,14,4,2,3,4,0,0,0,46,39,0
35,4,180030,9,2,5,0,4,1,0,0,40,39,0
24,4,312085,15,4,12,2,4,1,0,0,40,39,1
19,1,178789,11,0,8,1,2,0,0,0,40,39,0
29,4,98039,9,2,11,0,1,1,0,0,40,35,1
36,4,157247,9,2,9,0,4,1,0,0,22,39,1
37,4,186558,3,4,3,3,1,0,0,0,8,39,0
34,6,120009,15,2,4,0,4,1,0,0,40,39,1
50,4,119067,4,0,4,1,4,0,0,0,60,39,0
45,4,372475,15,2,11,0,4,1,100103,0,45,39,1
25,7,149393,14,2,4,0,4,1,12798,0,47,39,1
43,4,211233,12,2,4,0,4,1,99855,0,51,39,1
29,7,438979,9,4,10,1,4,1,0,0,24,39,0
36,4,180490,14,2,10,0,4,1,100051,0,68,39,1
35,5,467498,11,3,4,0,2,0,100041,0,46,39,1
