age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cluster,income
13,3,659,11,8.111401013143622,0,1,1,4,0,0.0,0,36,25,3,0
48,2,470,8,10.232891372248918,2,6,3,1,0,0.0,23,32,25,101,1
12,3,511,2,6.279467793095286,4,1,3,4,0,0.0,0,35,25,2,0
8,3,373,15,9.12961163015042,2,6,0,4,1,0.0,0,32,25,1,1
21,5,885,12,14.2598790279188,2,8,1,4,1,0.0,25,28,25,101,0
29,3,-50,11,8.075218585912515,2,2,0,4,1,37.95943069458008,0,41,25,102,1
32,3,174,8,8.03623147485008,2,6,1,4,0,0.0,0,32,25,103,0
53,0,558,11,6.265496964651027,2,10,1,2,1,0.0,22,32,25,101,0
10,3,458,10,7.388812095276339,2,4,0,4,1,35.800941467285156,0,35,25,102,1
23,0,301,8,10.394284990994775,0,1,1,4,0,0.0,27,27,25,101,0
8,3,620,15,9.308820881554515,2,6,5,4,0,0.0,0,32,25,100,1
30,3,546,10,13.567395060225568,2,9,0,4,1,0.0,0,41,25,103,1
16,3,670,9,12.224262958514878,2,1,1,2,0,0.0,0,24,25,100,1
22,5,790,8,10.32215988481753,6,1,1,4,0,0.0,26,32,25,101,0
46,6,184,12,6.538162552080908,2,6,0,2,1,0.0,21,17,24,101,0
21,2,144,11,8.163019644510213,0,1,1,4,0,0.0,0,35,25,100,0
46,3,560,10,8.12868364257453,3,4,1,4,1,0.0,8,37,25,101,0
53,0,309,11,14.021293334352558,0,7,1,4,1,0.0,0,26,25,100,0
55,0,726,11,8.102522428465445,6,9,1,4,0,0.0,0,40,25,103,0
23,3,718,5,8.057905802494934,0,11,0,4,1,0.0,0,39,25,3,0
28,3,43,14,10.195386756493072,1,4,0,4,1,0.0,0,41,25,2,0
53,0,624,5,6.8952636824743925,6,0,3,1,0,0.0,0,32,9,100,0
31,0,570,9,12.221557028717216,2,3,0,2,1,0.0,0,52,25,103,0
33,3,455,9,8.074056657388478,2,12,0,4,0,0.0,0,35,25,102,1
35,3,425,11,8.130324760878317,2,10,0,4,1,0.0,10,39,25,101,1
22,3,751,9,12.128566041319457,2,9,0,4,1,0.0,0,47,25,102,1
12,5,582,10,9.14936833420586,2,6,0,4,1,0.0,14,32,25,101,1
18,3,863,11,7.74331240940435,0,4,1,4,0,0.0,0,35,25,3,0
24,5,557,8,12.443447599121827,2,6,0,4,0,0.0,16,32,25,101,1
12,3,544,15,9.266844168487463,5,6,3,4,0,0.0,0,32,25,1,1
48,3,175,8,9.161613587612944,2,6,1,4,1,0.0,0,32,25,100,0
23,2,643,11,8.225845405675335,2,1,3,2,0,0.0,0,31,25,100,0
38,4,409,12,8.085286138335983,2,8,0,1,1,0.0,5,33,25,103,1
17,3,755,14,7.0657648285963885,0,9,1,4,0,0.0,0,29,25,100,0
41,3,568,15,9.064997180393977,2,6,0,4,1,0.0,15,32,25,101,1
53,5,391,5,6.689994414707553,4,3,1,4,1,0.0,7,40,25,3,0
16,0,161,8,12.130332111446098,2,6,4,2,0,0.0,8,25,0,101,0
17,3,528,15,9.214700606645309,2,6,0,4,0,0.0,0,32,25,3,0
22,0,524,8,9.061095846161757,2,6,5,2,0,0.0,21,32,25,101,1
20,3,307,4,8.124592789933988,4,4,0,4,1,0.0,0,39,25,102,0
6,5,133,14,8.07719437907218,2,2,0,4,1,0.0,0,35,25,102,1
11,6,558,15,7.209441728929041,4,6,3,1,1,0.0,0,32,21,100,0
20,0,179,11,8.117975423033723,2,0,1,4,1,0.0,0,50,25,100,0
49,3,388,11,8.050541961998118,2,2,0,4,1,0.0,0,36,25,1,1
25,2,455,11,8.095978185301343,0,6,3,1,0,0.0,0,32,25,100,0
23,3,241,15,9.204182018091693,0,6,0,4,1,0.0,14,35,25,101,0
25,1,721,2,9.239939907140164,2,6,0,4,1,0.0,0,32,25,1,1
22,6,689,9,12.336932027288336,2,1,5,4,0,0.0,0,30,25,100,1
14,3,923,11,12.403980999622028,0,1,5,4,0,0.0,7,32,25,100,0
40,4,618,11,8.06552283711305,4,0,1,4,1,0.0,0,42,25,100,0
21,3,150,10,8.09098511442375,2,2,0,4,1,0.0,0,32,25,1,1
18,3,493,11,8.148911769986183,6,5,5,4,1,0.0,21,35,25,3,0
9,3,602,15,9.043632304903847,2,10,3,4,1,0.0,9,32,25,1,1
13,3,950,15,9.263868414103424,4,6,3,4,0,0.0,0,32,25,2,0
27,3,313,15,9.231225125341009,2,6,0,4,0,0.0,0,32,25,1,1
29,3,-20,14,11.26724403371914,2,9,0,4,0,38.6086540222168,0,35,25,102,1
53,3,842,12,10.11517679957821,0,1,1,4,0,0.0,0,33,25,100,1
40,4,140,8,10.162471547064797,2,6,0,4,0,0.0,23,32,25,101,1
51,0,711,11,8.045812853157848,2,8,0,1,1,0.0,20,36,2,101,0
21,3,469,11,8.130860373136722,4,4,0,4,1,0.0,0,36,25,3,0
12,3,395,11,9.093165866040938,2,6,0,4,0,0.0,0,32,25,1,1
32,0,747,9,12.450254554465157,1,0,0,4,0,0.0,25,21,25,101,1
13,3,277,8,9.282083232116376,2,6,0,4,1,0.0,0,50,25,1,1
