AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,cluster,OUTCOME
2,1,0,1,0,2,9215.9951171875,1,0,1,1,0,12,0,2,0,2,3,0
2,0,0,0,0,0,7615.99755859375,1,1,0,1,2,21,0,0,0,0,101,1
2,0,0,0,0,2,8376.6845703125,1,1,0,1,0,12,0,0,0,0,1,0
2,1,0,2,0,2,6816.77587890625,1,1,1,1,0,8,0,6,0,7,100,0
0,0,0,0,1,1,811.7343139648438,1,1,0,0,0,16,1,0,0,0,103,0
2,1,0,2,2,2,6500.16259765625,1,1,1,1,0,8,0,2,0,4,3,0
0,0,0,0,0,2,1389.1453857421875,1,0,0,0,0,10,1,0,0,0,103,0
3,1,0,3,0,2,4021.5869140625,1,1,1,1,1,8,0,2,0,2,3,0
1,1,0,0,2,2,9390.2978515625,1,0,0,0,0,9,1,0,0,0,103,0
1,1,0,1,0,2,9258.34375,0,1,0,0,0,11,0,2,0,2,2,0
2,0,0,2,0,2,7926.99072265625,1,1,1,1,0,11,0,2,0,1,3,0
0,1,0,0,1,1,9008.220703125,1,0,0,0,2,15,1,2,0,0,103,0
0,0,0,0,0,1,1624.915771484375,1,1,0,0,2,21,0,0,0,0,101,1
0,0,0,0,0,0,6889.86572265625,1,0,0,0,0,12,0,0,0,0,1,0
1,0,0,1,0,1,2503.60009765625,0,1,0,0,0,12,0,2,0,1,1,0
2,0,0,2,0,2,8749.4072265625,1,1,0,0,0,12,0,0,0,2,1,0
2,0,0,2,0,2,9215.7841796875,1,0,1,1,0,11,0,2,0,4,1,0
2,1,0,1,0,1,7009.15380859375,1,0,1,0,1,8,1,2,0,1,103,0
2,0,0,0,1,2,9099.3623046875,1,0,0,0,0,10,1,0,0,0,103,0
1,1,0,1,0,1,783.3877563476562,0,1,0,0,0,14,0,1,1,1,1,0
1,1,0,1,0,0,8126.4833984375,1,1,0,1,2,10,0,1,0,0,1,0
2,1,0,2,0,2,5019.38916015625,1,0,1,1,1,8,0,2,0,2,3,0
2,1,0,1,0,0,1602.098388671875,1,0,1,0,0,12,0,2,2,2,100,0
3,1,0,3,2,2,5629.83056640625,1,1,1,1,0,12,0,7,2,4,100,0
3,1,0,1,0,2,9085.0009765625,1,1,1,1,0,8,1,2,0,2,103,0
2,0,0,2,2,2,8249.3837890625,1,0,1,1,0,9,0,0,0,0,1,0
1,0,0,1,1,0,8958.7236328125,0,1,1,0,0,8,0,1,0,1,1,0
3,1,0,3,0,2,2577.628173828125,1,1,1,1,2,8,1,9,3,7,103,0
1,1,0,1,0,3,797.7649536132812,0,1,0,0,0,16,1,2,1,1,103,0
3,1,0,1,0,2,2994.90380859375,1,1,1,1,0,8,0,1,0,7,100,0
3,1,0,3,2,2,6297.35546875,0,0,1,1,0,8,0,5,1,7,100,0
2,0,0,2,0,2,8063.359375,0,1,1,0,0,7,0,2,0,2,100,0
2,0,0,1,1,2,8072.71337890625,1,1,1,1,1,9,0,0,0,0,1,0
0,0,0,0,0,1,335.0923767089844,0,1,0,0,2,13,0,0,0,0,2,1
1,1,0,2,0,1,3799.744140625,0,1,1,1,2,8,0,5,0,1,1,0
0,1,0,0,0,1,1183.028076171875,0,0,1,1,0,8,1,0,0,0,103,0
0,0,0,0,0,0,4454.654296875,1,1,0,1,0,16,0,0,0,0,2,1
2,0,0,0,0,1,4084.355712890625,1,1,1,1,0,8,0,0,0,0,1,0
2,1,0,2,2,2,6618.5634765625,1,0,1,1,0,8,0,2,0,1,1,0
0,0,0,0,0,1,5134.1875,1,1,0,1,0,11,0,0,0,0,2,1
1,0,0,0,0,2,5432.8173828125,0,1,1,0,1,10,0,0,0,0,1,1
