gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,cluster,Churn
0,0,0,0,50,0,1,0,1,0,0,0,0,0,0,0,2,198.52230834960938,2215.177978515625,100,0
0,1,1,0,34,1,0,1,0,0,0,0,0,0,0,0,2,932.002685546875,756.8300170898438,102,1
0,0,1,0,4,1,0,2,1,1,1,1,1,1,0,0,0,32.74627685546875,4337.88818359375,1,0
0,1,0,0,35,1,1,1,1,2,1,0,0,0,0,0,1,972.8605346679688,858.0316772460938,101,0
0,1,0,0,30,1,2,1,1,2,1,0,2,2,0,1,2,1498.9793701171875,5640.037109375,101,0
1,1,0,0,64,1,0,1,2,2,1,1,0,1,2,0,1,1266.1993408203125,6436.9482421875,101,0
0,1,0,0,66,1,2,1,1,2,2,2,2,2,0,1,2,1613.749267578125,5319.38232421875,101,0
1,0,0,0,41,1,2,1,0,0,0,2,2,2,0,1,2,1347.8905029296875,2165.620361328125,2,0
0,0,0,0,61,1,1,0,2,0,0,2,0,0,1,1,0,591.0968627929688,619.2327880859375,1,0
0,1,0,0,29,1,0,2,1,1,1,0,1,1,0,0,0,58.51304626464844,743.3500366210938,1,0
0,0,0,0,33,1,2,1,1,2,2,0,2,2,0,1,0,1443.471923828125,5787.9453125,2,0
0,0,0,0,48,1,0,2,1,1,1,1,1,1,0,0,0,48.22977066040039,2546.701171875,1,0
0,0,0,1,9,0,1,0,1,0,0,1,0,0,0,1,2,123.85710906982422,5974.38623046875,100,0
1,0,0,0,5,1,0,1,0,0,0,2,0,0,0,0,3,444.6041564941406,1368.180908203125,2,1
0,1,0,0,69,1,0,2,1,1,1,1,1,1,1,0,0,95.77169036865234,6432.8857421875,101,0
0,1,0,0,49,1,2,1,1,2,1,2,2,1,0,0,1,1472.2218017578125,4562.9501953125,101,0
1,1,0,0,23,1,2,1,0,0,0,0,0,2,0,1,2,1141.3717041015625,1462.6524658203125,102,1
0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,166.83984375,1725.475341796875,100,1
1,1,0,0,24,1,2,1,0,0,0,0,2,0,0,0,2,1052.52197265625,2998.26171875,102,0
0,1,0,0,48,1,2,1,1,0,0,0,2,0,0,1,2,1257.2637939453125,2945.978515625,102,0
0,1,1,0,69,1,2,1,0,2,0,2,2,2,0,1,0,1489.7239990234375,4485.05224609375,101,0
0,0,1,1,33,0,1,0,2,0,0,2,2,2,1,1,0,388.8788757324219,2315.24658203125,103,0
1,0,0,0,2,1,0,2,1,1,1,1,1,1,0,1,0,38.0130500793457,723.1564331054688,1,0
1,0,0,0,13,0,1,0,2,0,0,2,0,0,0,1,2,613.8768310546875,2528.229248046875,100,1
0,1,0,0,27,1,0,1,1,0,0,0,0,0,0,1,2,856.4816284179688,4588.85693359375,102,1
0,0,0,0,65,1,0,1,2,2,2,2,2,2,1,1,0,1509.7796630859375,6327.185546875,3,0
0,0,0,0,53,1,0,2,1,1,1,1,1,1,0,1,1,408.9996337890625,3214.197998046875,1,0
0,0,0,0,12,0,1,0,0,0,0,0,2,0,0,1,2,153.8348846435547,1298.3116455078125,100,0
0,0,0,1,64,1,0,0,2,2,2,2,2,0,0,1,1,478.6824645996094,3623.211181640625,3,0
1,0,1,1,68,1,2,1,2,2,2,2,2,2,2,1,0,1629.14208984375,6512.10791015625,3,0
0,1,0,0,41,1,2,0,0,0,0,0,2,0,0,0,2,762.6546020507812,3411.73583984375,102,0
