Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,cluster,Revenue
8,2188.624755859375,2,302.3412780761719,89,8163.48974609375,1100.56396484375,1743.663818359375,124.42715454101562,0,3,0,0,0,2,2,0,103,0
4,276.85089111328125,0,0.0,28,2272.833984375,0.0,2612.84130859375,0.0,0,0,2,0,0,1,2,0,101,0
3,345.6781311035156,0,0.0,14,2272.27001953125,0.0,1248.529296875,0.0,0,1,1,3,3,4,2,0,102,0
3,352.6834411621094,4,728.0368041992188,15,6584.640625,0.0,2700.94287109375,0.0,0,7,0,0,2,1,1,0,100,1
0,1382.884521484375,0,0.0,13,2204.166015625,0.0,218.5167236328125,0.0,0,6,2,1,0,2,2,0,102,0
0,0.0,0,0.0,8,2797.083984375,1161.2352294921875,2638.70654296875,0.0,0,1,1,3,6,9,2,1,101,0
0,2652.45458984375,0,0.0,16,7159.69189453125,0.0,2123.301025390625,0.0,0,5,1,1,2,1,2,0,0,0
2,1072.120849609375,0,0.0,15,6175.6337890625,1464.8507080078125,3666.76123046875,0.0,0,5,1,1,4,0,2,0,3,0
0,1969.2237548828125,0,0.0,52,8976.501953125,199.3687744140625,1179.7847900390625,0.0,0,6,1,1,0,2,2,0,0,0
4,398.685546875,0,0.0,39,2540.174560546875,202.2364044189453,35.87825393676758,0.0,0,7,1,1,5,2,0,0,100,1
0,0.0,0,0.0,20,212.2565155029297,1240.0653076171875,2148.891845703125,0.0,0,1,1,3,3,2,2,0,101,0
0,0.0,0,0.0,13,9035.6708984375,0.0,300.9110107421875,0.0,0,6,1,1,1,0,2,0,0,0
0,0.0,0,0.0,38,3682.2666015625,522.2681884765625,3050.41796875,0.0,0,2,1,1,0,2,0,0,0,0
1,32.029754638671875,0,0.0,135,6379.24365234375,0.0,2446.1669921875,564.6288452148438,0,5,1,1,4,0,2,0,0,0
1,79.47832489013672,0,0.0,27,3438.87744140625,0.0,2531.744873046875,0.0,0,1,0,12,8,19,1,0,100,0
5,844.2890625,4,972.769775390625,23,9377.5185546875,1062.4332275390625,2217.313232421875,0.0,0,1,1,1,3,9,2,1,103,0
9,2977.797119140625,0,0.0,45,6360.74072265625,786.1047973632812,2673.033447265625,1814.3843994140625,0,6,1,1,2,1,2,1,100,1
9,2870.577392578125,1,206.86648559570312,70,7091.62548828125,0.0,1432.3465576171875,127.25125885009766,0,6,1,1,1,9,2,1,0,0
0,0.0,0,0.0,38,4043.883544921875,0.0,217.7215118408203,2334.262939453125,0,6,1,1,2,9,0,1,102,1
0,0.0,0,0.0,6,434.35931396484375,1765.6173095703125,4681.12841796875,0.0,0,1,2,1,0,3,2,0,101,0
14,3136.23974609375,4,765.8228759765625,175,9405.5869140625,208.35459899902344,1481.3133544921875,695.735107421875,0,7,1,1,2,6,2,1,103,0
0,0.0,3,1068.98681640625,18,0.0,1490.28955078125,4493.2900390625,0.0,0,6,1,1,7,0,2,0,101,0
0,0.0,0,0.0,4,685.8594970703125,1262.4139404296875,4640.97607421875,0.0,0,6,2,1,0,1,2,0,3,0
0,0.0,0,0.0,0,0.0,1915.510009765625,4934.6796875,0.0,0,6,1,1,3,0,2,0,101,0
0,0.0,0,0.0,5,4720.61474609375,0.0,1342.01025390625,0.0,0,1,7,1,8,9,1,1,102,0
0,0.0,0,0.0,21,4181.13525390625,1551.8681640625,4329.38134765625,0.0,0,6,2,1,0,12,2,1,101,0
4,717.3270263671875,4,759.6002807617188,210,3356.561767578125,462.9521179199219,2733.686279296875,1300.846435546875,0,1,0,0,3,0,2,0,103,0
0,0.0,0,0.0,11,1716.455322265625,0.0,2531.66650390625,0.0,0,7,2,1,1,0,2,0,3,0
3,2881.482421875,0,0.0,26,7661.595703125,0.0,1353.9310302734375,1095.7093505859375,0,5,1,1,0,1,2,1,100,1
10,645.1533203125,3,1056.374267578125,31,6495.2431640625,364.19183349609375,1055.447998046875,1724.524658203125,0,6,1,1,1,1,2,0,103,0
0,0.0,0,0.0,31,5948.00244140625,481.0641174316406,496.576416015625,0.0,0,7,1,1,0,0,2,0,3,0
0,0.0,0,0.0,35,5951.39990234375,1393.273193359375,2823.6201171875,0.0,0,1,0,3,6,0,2,1,101,0
0,0.0,0,0.0,0,0.0,1867.44970703125,4869.80126953125,0.0,0,6,2,1,1,0,2,0,101,0
3,791.5265502929688,0,0.0,18,3036.372802734375,0.0,48.541099548339844,0.0,0,2,7,0,0,3,0,0,102,0
6,2088.234375,1,50.67522430419922,98,6397.21630859375,410.12286376953125,2503.2666015625,111.19584655761719,0,2,1,1,0,2,2,0,103,1
5,2708.657958984375,4,943.2528076171875,49,6126.9111328125,421.30950927734375,2865.08544921875,0.0,0,0,0,0,3,1,2,1,103,0
7,602.4830932617188,2,1079.471435546875,188,8023.83935546875,1090.7923583984375,1902.705322265625,1164.12890625,0,6,1,1,1,9,2,1,103,0
14,419.5888366699219,3,945.921630859375,252,8790.0732421875,136.98492431640625,2642.473876953125,1188.878662109375,0,5,1,1,4,1,2,0,103,0
1,24.58799171447754,0,0.0,13,1419.4327392578125,155.28355407714844,3244.8583984375,0.0,0,7,1,1,0,0,2,0,0,0
