iter	Logloss
0	0.686018308
1	0.6808811029
2	0.6739320755
3	0.6682554881
4	0.6615674496
5	0.6548113823
6	0.6492913961
7	0.6442683538
8	0.6369276841
9	0.6324356397
10	0.6272845268
11	0.6218158801
12	0.6167976856
13	0.6104853153
14	0.6057524681
15	0.6017501354
16	0.5966166655
17	0.5916259289
18	0.5868268013
19	0.5826117198
20	0.5775310198
21	0.5742978652
22	0.569321394
23	0.564677914
24	0.561233441
25	0.5572350423
26	0.553776145
27	0.5506874323
28	0.5467399756
29	0.5431171258
30	0.5388323466
31	0.5350574652
32	0.53206563
33	0.5284291108
34	0.5254461765
35	0.5219122966
36	0.5187286536
37	0.516275843
38	0.5135853688
39	0.5113253593
40	0.5089155038
41	0.5066107114
42	0.504284064
43	0.5022071997
44	0.4997664293
45	0.4972770214
46	0.4944255352
47	0.4925690095
48	0.4893573125
49	0.4865171909
50	0.4843692382
51	0.4814679623
52	0.4787560304
53	0.4768555959
54	0.4751414855
55	0.4727955659
56	0.4712229967
57	0.4694831371
58	0.4675247669
59	0.4661720594
60	0.4640720685
61	0.4624831279
62	0.4607419968
63	0.4590423107
64	0.4571733077
65	0.4551480611
66	0.4534585079
67	0.4511928956
68	0.4502170881
69	0.4481649399
70	0.446271499
71	0.4439491828
72	0.4424559673
73	0.4412819544
74	0.4396961133
75	0.4387146632
76	0.4374387662
77	0.4360148509
78	0.4349712133
79	0.433457613
80	0.4323225419
81	0.4312290351
82	0.4301071962
83	0.4292676051
84	0.4275561968
85	0.4264479478
86	0.424705267
87	0.4233086507
88	0.4218421777
89	0.4204587539
90	0.4195322196
91	0.4183669885
92	0.4172320366
93	0.4159997702
94	0.414575696
95	0.4132017692
96	0.4118054708
97	0.4105314414
98	0.4093516668
99	0.4081947009
100	0.4072303772
101	0.4063425859
102	0.4052902857
103	0.4043762684
104	0.4030928214
105	0.402011315
106	0.4007862409
107	0.3994812965
108	0.3983759085
109	0.3975063165
110	0.3966036638
111	0.395701925
112	0.3943390449
113	0.3937590917
114	0.3930137555
115	0.3919846217
116	0.3910970688
117	0.3899321556
118	0.3891309897
119	0.3884340922
120	0.3876013756
121	0.3865435521
122	0.3857551416
123	0.3850437005
124	0.3841710488
125	0.3833159606
126	0.3822583755
127	0.3813215892
128	0.3802168369
129	0.3798674345
130	0.3790481091
131	0.3784952561
132	0.377717336
133	0.3768856525
134	0.3762863874
135	0.3754844268
136	0.3744019667
137	0.3738341729
138	0.3731153806
139	0.3726508617
140	0.372010986
141	0.3712435961
142	0.3706675371
143	0.3700647354
144	0.3695713679
145	0.3688309193
146	0.3683782021
147	0.3679529031
148	0.36752069
149	0.3670214017
150	0.3660850525
151	0.3653796117
152	0.3644904693
153	0.3640860717
154	0.3635623852
155	0.3629896641
156	0.3624639908
157	0.3618422349
158	0.3611560663
159	0.3605372508
160	0.3601508935
161	0.3598597844
162	0.359412988
163	0.3589592775
164	0.3583757877
165	0.3579745293
166	0.3575727145
167	0.3569437663
168	0.3562115033
169	0.3558002313
170	0.3550120195
171	0.3542589744
172	0.353405873
173	0.3528411388
174	0.3522655169
175	0.3517084519
176	0.3511689504
177	0.3506183624
178	0.3500313759
179	0.3494714101
180	0.3490861654
181	0.3485991955
182	0.3479343255
183	0.3472544352
184	0.3468391895
185	0.3465056419
186	0.3458478848
187	0.3453698556
188	0.3448816935
189	0.3444032669
190	0.343919754
191	0.3435273965
192	0.3431601127
193	0.3425670067
194	0.3418831031
195	0.3414818446
196	0.3409283956
197	0.3405296803
198	0.3401427269
199	0.3397385279
200	0.3395066261
201	0.3388497035
202	0.338484327
203	0.3380489349
204	0.3375566006
205	0.3371887207
206	0.3369016647
207	0.3365170956
208	0.3359327316
209	0.3356286685
210	0.3349953492
211	0.334364454
212	0.334035476
213	0.3335473537
214	0.3331067761
215	0.3326603969
216	0.3322476943
217	0.3317327897
218	0.3311192989
219	0.3307894468
220	0.330537796
221	0.3301698963
222	0.3296487331
223	0.3292898337
224	0.3289096951
225	0.3286211888
226	0.3282887538
227	0.3277688225
228	0.327410539
229	0.3270906806
230	0.3269054492
231	0.3264686863
232	0.3260902564
233	0.3256719112
234	0.3253439267
235	0.3248778184
236	0.3245360454
237	0.3242417971
238	0.3239465157
239	0.3235717614
240	0.3231228193
241	0.3225337267
242	0.3221128782
243	0.3216659625
244	0.3212509155
245	0.3208138545
246	0.3204805454
247	0.3200294177
248	0.3196899692
249	0.3194741011
250	0.3191628456
251	0.3188085556
252	0.3184858163
253	0.3181318839
254	0.3179087838
255	0.3174972932
256	0.3170914054
257	0.3167866866
258	0.3163584868
259	0.3159684141
260	0.3156901598
261	0.315525492
262	0.3151061734
263	0.3146967491
264	0.3144732912
265	0.3141197165
266	0.313881437
267	0.3133295973
268	0.3130305211
269	0.3128649394
270	0.312478741
271	0.3120215734
272	0.3116211096
273	0.310992221
274	0.3108023008
275	0.3104319771
276	0.3101903598
277	0.3100163937
278	0.3096240759
279	0.3093153636
280	0.3091116746
281	0.308870395
282	0.3084664345
283	0.3082991242
284	0.3079702457
285	0.3076308171
286	0.3073678811
287	0.3071469267
288	0.3069864114
289	0.3066103458
290	0.3064799309
291	0.3062302272
292	0.3060673277
293	0.3058496316
294	0.3053777417
295	0.3050858776
296	0.304786106
297	0.3043336868
298	0.3041777412
