iter	Logloss
0	0.6505818057
1	0.616399493
2	0.5826213421
3	0.5524300838
4	0.5267028095
5	0.5030843441
6	0.4835912732
7	0.4653901559
8	0.4498484194
9	0.4348045802
10	0.4209901472
11	0.4093527488
12	0.4001091613
13	0.3901340365
14	0.3819576369
15	0.3730980658
16	0.3651110206
17	0.3594661675
18	0.3533214196
19	0.3471215718
20	0.3413196366
21	0.3363216306
22	0.3312878709
23	0.3268279958
24	0.323461332
25	0.3196955855
26	0.3164748468
27	0.3131668497
28	0.3098078046
29	0.307197503
30	0.3043833229
31	0.3018028398
32	0.2995581785
33	0.2974311361
34	0.2947330912
35	0.2925756026
36	0.290576423
37	0.2886188181
38	0.2866914597
39	0.2848180028
40	0.2830360844
41	0.2815885896
42	0.2799281423
43	0.2784033477
44	0.2767489497
45	0.2752104586
46	0.2739598514
47	0.2726801961
48	0.2716413429
49	0.2703334671
50	0.2693690032
51	0.2683991178
52	0.2673197172
53	0.2662352945
54	0.2652490303
55	0.2642504107
56	0.2632731348
57	0.2620960038
58	0.2611267175
59	0.2602808142
60	0.2594929499
61	0.2588557189
62	0.2580866018
63	0.2575028728
64	0.2568517456
65	0.2562236741
66	0.2553669277
67	0.2546493438
68	0.2539402345
69	0.2531621861
70	0.2525571705
71	0.251953981
72	0.2513477099
73	0.250836487
74	0.2502686517
75	0.2496374415
76	0.2489579795
77	0.2484005308
78	0.2477827032
79	0.2472815815
80	0.246623235
81	0.2461363804
82	0.2456062962
83	0.2451686066
84	0.2446375236
85	0.2440849829
86	0.2436513736
87	0.2430229312
88	0.2425691766
89	0.2421268073
90	0.241567247
91	0.2411198556
92	0.2407822932
93	0.2403227747
94	0.2398414558
95	0.2393438866
96	0.2388846534
97	0.2385018497
98	0.2380105581
99	0.2375153144
100	0.2371123654
101	0.2367518471
102	0.2363240446
103	0.2360383578
104	0.235677226
105	0.2352752044
106	0.2348465886
107	0.2344401726
108	0.2340612924
109	0.2336975782
110	0.2332423969
111	0.2326665007
112	0.2324238867
113	0.2320500713
114	0.2313979881
115	0.2310951379
116	0.2306498581
117	0.2302737457
118	0.2298820249
119	0.2295678323
120	0.2293003362
121	0.2289705923
122	0.2287076617
123	0.2282664766
124	0.2279006223
125	0.2275008549
126	0.2272300631
127	0.2269947967
128	0.2267034316
129	0.2264144634
130	0.226025111
131	0.2256577729
132	0.2252689485
133	0.2249231539
134	0.2246371675
135	0.2242914443
136	0.2238462929
137	0.2235738461
138	0.2233405343
139	0.2231108035
140	0.2227981517
141	0.2225092406
142	0.2221755304
143	0.2219287931
144	0.2215610699
145	0.221275269
146	0.2209537429
147	0.2206770445
148	0.2203177389
149	0.219835079
150	0.2195159641
151	0.2192419337
152	0.2188644802
153	0.2185977973
154	0.2181365382
155	0.2179304054
156	0.2176241025
157	0.2173824159
158	0.2172094972
159	0.2168295755
160	0.2165774167
161	0.2163667469
162	0.2161424663
163	0.2158684929
164	0.2154823507
165	0.2151273823
166	0.2149100355
167	0.2145030631
168	0.2142671404
169	0.2140540167
170	0.2136760924
171	0.2135089377
172	0.2132094688
173	0.213000026
174	0.2127715508
175	0.2126150822
176	0.2123647639
177	0.212095142
178	0.2117830038
179	0.2114956335
180	0.211166817
181	0.2108440497
182	0.2105270607
183	0.2101959471
184	0.2099738351
185	0.2098242861
186	0.2095916163
187	0.2092318542
188	0.2090752286
189	0.2087977741
190	0.208534815
191	0.2083221764
192	0.2079919759
193	0.2077175317
194	0.2075293756
195	0.2073183064
196	0.2070466871
197	0.206733593
198	0.2063869425
199	0.2062184466
