age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target
24,1,1,0,0,3381,1,0,2,14,8,262,3,0,0,3,0
19,9,1,1,0,3100,0,0,2,19,6,167,1,0,0,3,0
14,0,1,1,0,1839,1,0,0,16,0,819,3,0,0,3,0
35,1,1,0,0,1222,0,0,0,27,5,388,2,178,1,2,1
14,9,2,2,0,1173,1,0,2,1,6,183,4,0,0,3,0
10,0,2,1,0,880,1,0,0,17,8,379,0,0,0,3,0
23,10,1,1,0,916,0,0,0,30,5,846,13,0,0,3,0
18,0,2,1,0,4173,0,0,2,18,8,103,3,0,0,3,0
26,1,1,1,0,1152,1,0,2,11,8,596,0,0,0,3,0
10,1,2,1,0,2201,0,0,1,29,4,199,1,2,17,1,0
17,1,2,1,0,875,1,0,2,1,6,169,0,0,0,3,0
32,2,0,2,0,1231,0,0,0,7,4,249,0,116,1,0,0
13,7,1,1,0,916,0,1,0,20,9,208,0,0,0,3,0
37,5,1,1,0,2383,0,1,0,28,5,277,1,0,0,3,0
13,2,2,2,0,2860,0,0,0,3,3,112,2,0,0,3,0
26,9,0,1,0,589,1,0,2,6,8,171,0,0,0,3,0
18,4,2,2,0,917,1,0,0,12,8,131,0,0,0,3,0
52,4,1,2,0,5398,0,0,0,5,3,146,0,0,0,3,0
19,1,0,1,1,274,0,0,2,17,6,15,0,0,0,3,0
12,9,2,1,0,1694,1,0,0,17,8,22,1,343,2,0,0
31,3,0,0,0,1080,1,0,2,8,8,1071,4,0,0,3,0
17,10,2,1,0,916,0,0,0,29,5,740,2,0,0,3,0
19,4,2,2,0,3696,0,0,0,19,9,110,1,0,0,3,0
14,4,1,1,0,2393,1,0,0,17,9,111,0,0,0,3,0
26,9,0,1,0,916,1,0,0,6,5,835,3,0,0,3,0
45,9,1,1,0,1812,1,0,0,13,1,276,1,0,0,3,1
13,9,1,1,0,1355,0,0,2,3,10,5,0,0,0,3,0
11,4,1,1,0,1147,0,0,0,13,8,1066,0,13,1,0,1
20,2,0,2,0,6140,0,0,0,7,5,182,2,0,0,3,0
35,4,0,2,0,5234,0,1,0,16,9,560,1,0,0,3,0
12,9,2,2,0,1986,0,0,0,13,2,446,1,0,0,3,0
12,7,1,1,0,1095,1,0,2,27,8,64,0,0,0,3,0
14,9,1,1,0,1202,0,0,0,19,0,60,0,340,4,0,0
17,7,1,1,0,1546,1,0,2,6,8,17,1,0,0,3,0
10,8,2,2,0,1653,1,0,2,26,8,125,0,0,0,3,0
21,1,1,1,0,1179,1,0,0,17,9,365,0,0,0,3,0
38,1,1,0,0,916,1,0,0,16,5,82,0,0,0,3,0
14,9,1,2,0,3534,0,0,0,13,10,216,0,54,1,0,1
19,1,2,3,0,1133,0,0,0,22,11,272,1,0,0,3,1
11,0,2,3,0,1091,0,0,2,27,8,597,2,0,0,3,0
33,1,0,3,0,6535,1,0,2,28,8,117,0,0,0,3,0
20,1,1,1,0,1338,1,0,0,10,8,286,2,0,0,3,0
22,1,2,1,0,1982,1,0,2,20,8,171,0,0,0,3,0
16,0,2,1,0,4826,1,0,0,1,6,159,0,81,2,0,0
30,9,0,2,0,3209,0,0,0,26,1,129,6,0,0,3,0
11,1,1,3,0,1272,1,0,2,3,6,169,1,0,0,3,0
42,5,1,1,0,6242,0,0,0,15,7,279,0,191,7,1,1
25,7,1,0,0,3424,1,0,0,13,8,109,0,357,2,0,0
12,9,1,1,0,929,1,1,0,23,5,205,0,0,0,3,0
38,5,1,1,0,2588,1,0,2,14,8,79,0,0,0,3,0
20,1,2,1,0,915,1,0,2,6,8,72,0,0,0,3,0
10,8,2,1,0,2829,0,0,0,24,8,252,0,85,4,0,1
27,4,1,1,0,2050,0,1,0,8,3,102,3,0,0,3,0
38,7,1,1,0,1446,1,0,2,19,8,51,6,0,0,3,0
14,1,2,1,0,2331,1,0,0,16,0,645,0,342,1,0,0
18,1,0,1,0,905,0,0,2,4,6,152,1,0,0,3,0
16,7,1,1,0,864,0,0,2,12,1,12,0,0,0,3,0
37,5,0,2,0,468,1,0,0,22,5,1273,2,0,0,3,0
22,9,1,1,0,922,1,0,0,15,5,464,0,0,0,3,0
30,0,0,1,0,1211,1,0,0,16,9,123,0,161,2,2,0
16,1,2,0,1,914,0,1,0,6,5,199,0,0,0,3,0
21,10,1,0,0,2063,1,1,0,5,8,232,1,360,5,0,0
33,0,1,1,0,916,0,0,2,4,6,78,0,0,0,3,0
30,9,1,1,0,916,0,0,0,27,4,142,0,0,0,3,0
34,4,1,2,0,1165,1,1,1,6,8,100,0,0,0,3,0
8,9,2,2,0,2875,1,0,0,28,4,221,1,0,0,3,0
29,1,1,3,0,573,1,0,2,18,8,18,13,0,0,3,0
25,0,2,1,0,1649,1,0,0,24,8,282,0,184,3,2,1
39,5,1,1,0,965,1,1,0,24,1,93,3,0,0,3,0
18,4,1,2,0,916,0,0,0,26,1,558,10,0,0,3,0
36,1,1,1,0,157,1,0,2,6,8,799,0,0,0,3,0
9,9,0,1,0,1078,1,0,0,23,5,203,0,0,0,3,0
22,0,1,1,0,916,1,1,0,16,9,57,0,0,0,3,0
11,1,1,0,0,1159,0,1,0,10,5,109,1,0,0,3,0
23,6,0,2,0,4808,1,0,0,20,9,854,2,0,0,3,0
19,4,1,2,0,1571,0,0,2,27,8,244,2,0,0,3,0
11,4,2,2,0,1642,1,0,2,8,8,200,2,0,0,3,0
28,1,1,0,0,1208,1,0,0,19,0,386,1,231,4,0,0
35,2,1,2,0,1962,1,1,0,29,5,50,19,0,0,3,0
15,4,2,2,0,2347,0,0,0,29,0,94,0,82,2,0,0
32,2,1,2,0,6303,1,0,0,19,9,141,0,0,0,3,0
36,2,1,1,0,3628,0,0,2,5,6,94,0,0,0,3,0
41,7,1,0,0,947,0,0,2,15,6,41,2,0,0,3,0
19,4,0,2,0,916,1,0,0,5,1,99,4,0,0,3,0
19,9,1,2,0,6315,1,0,2,5,8,149,0,0,0,3,0
18,0,2,2,0,2481,0,0,2,16,6,433,1,0,0,3,0
25,9,2,1,0,1367,0,0,0,11,1,289,1,0,0,3,1
15,9,1,3,0,916,0,0,2,7,8,345,1,0,0,3,0
19,4,1,2,0,5834,0,0,0,6,11,337,0,183,1,2,1
34,4,2,2,0,953,0,0,0,6,5,1244,0,0,0,3,0
14,7,2,1,0,916,1,0,0,30,5,99,12,0,0,3,0
16,4,1,2,0,2686,0,0,0,4,3,99,0,90,3,2,0
