AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
3,0,0,0,0,2,7012,1,0,0,1,0,10,0,0,0,0,0
0,1,0,0,1,1,1290,0,1,0,0,0,14,0,0,0,0,1
0,0,0,0,0,3,3755,1,1,0,0,0,9,0,0,0,0,0
0,1,0,0,2,3,112,1,1,0,1,2,9,0,0,0,0,0
1,1,0,1,1,3,1756,1,1,0,0,2,10,0,2,0,1,1
2,0,0,2,0,2,6772,1,0,0,1,0,11,0,3,0,3,0
3,1,0,3,0,2,3749,0,0,1,1,0,11,0,7,0,3,0
1,0,0,0,2,3,3225,0,0,0,1,0,12,0,0,0,0,1
2,0,0,2,2,3,4434,0,1,1,0,0,11,0,0,0,0,0
2,0,0,0,0,2,5380,1,1,0,1,2,9,0,0,0,0,1
3,1,0,3,0,2,6797,1,0,1,1,0,8,0,6,2,7,0
3,0,0,3,0,2,8619,1,0,1,0,2,10,0,4,0,0,0
2,1,0,2,0,2,7188,1,1,1,1,0,6,0,4,1,2,0
0,0,0,0,2,2,6134,1,1,0,1,0,21,0,0,0,0,0
1,1,0,1,0,0,3096,1,1,1,1,0,10,0,0,2,1,0
1,0,0,0,0,2,8826,0,0,1,0,0,21,0,0,0,0,0
3,1,0,3,2,2,8930,1,1,1,1,2,21,0,10,2,1,0
0,1,0,0,1,1,9018,0,1,1,0,2,10,0,0,0,0,1
1,0,0,0,2,2,7992,1,1,0,1,2,21,0,0,0,0,1
0,0,0,0,0,3,2263,1,1,0,1,0,16,0,0,0,0,1
0,0,0,0,0,3,2096,0,1,0,0,0,15,0,0,0,0,1
0,1,0,0,0,0,5160,1,0,1,1,2,6,0,0,0,0,1
2,1,0,2,1,1,956,1,1,1,1,0,11,0,3,1,1,0
0,1,0,0,1,1,9018,0,1,0,0,0,15,0,0,0,0,0
3,1,0,3,0,2,3921,1,1,1,1,2,5,0,13,2,3,0
1,0,0,1,2,0,5122,1,1,1,0,0,12,1,0,0,0,0
2,1,0,1,0,0,6966,1,1,0,0,0,11,0,1,1,0,0
1,1,0,1,1,1,579,1,1,1,0,0,13,0,0,0,1,0
1,1,0,1,2,0,5121,0,0,0,0,0,15,0,0,0,1,0
3,1,0,0,2,2,7438,1,0,1,1,2,7,0,0,0,0,1
2,1,0,2,0,0,4433,1,0,1,1,3,5,0,2,0,1,0
3,0,0,3,2,2,8324,1,1,1,1,0,8,0,3,1,1,0
0,1,0,0,1,1,55,1,1,1,1,0,7,0,0,0,0,0
0,1,0,0,1,1,800,1,1,0,1,2,8,0,0,0,0,1
1,0,0,0,0,0,6434,1,1,1,1,1,9,0,0,0,0,1
0,1,0,0,2,3,4035,0,0,0,0,2,6,0,0,0,0,1
1,1,0,1,0,3,6915,1,1,0,1,0,15,0,3,0,2,0
2,0,0,1,1,0,9018,1,1,1,1,0,9,0,2,0,1,0
3,1,0,3,2,2,9018,0,0,0,1,0,10,1,6,0,5,0
2,1,0,1,2,2,5783,1,1,0,1,3,12,0,1,0,1,0
3,1,0,3,0,2,8382,1,1,1,1,0,8,0,5,1,3,0
2,1,0,2,2,2,7621,1,0,0,1,0,14,0,4,0,2,0
2,1,0,2,2,2,6037,0,0,1,1,2,7,0,10,2,0,0
0,1,0,0,1,1,2046,0,1,0,0,0,14,0,0,0,0,1
1,0,0,1,0,1,489,0,1,0,1,0,11,0,1,0,0,1
2,1,0,2,0,0,3956,0,1,0,0,0,12,1,3,0,4,0
3,1,0,2,0,2,6923,1,0,1,1,0,5,0,7,0,5,0
2,0,0,2,2,2,9018,1,0,1,1,3,9,0,3,0,2,0
1,0,1,1,2,3,1833,1,1,0,1,2,10,0,1,0,0,0
1,0,1,1,1,3,4008,0,1,0,1,0,12,0,1,0,0,0
2,1,0,2,2,2,7608,1,1,1,0,0,12,0,3,0,2,0
1,0,0,0,0,3,4491,0,1,0,0,0,15,0,0,0,0,1
3,1,0,2,2,2,5155,0,0,1,1,2,5,0,9,0,1,0
0,0,0,0,2,3,2815,0,1,1,1,0,6,0,0,0,0,1
0,0,0,0,1,3,4181,1,1,1,1,0,5,0,0,0,0,1
1,0,0,1,0,0,9018,1,0,1,0,0,13,0,0,0,0,0
0,0,0,0,0,1,3090,0,1,0,0,2,7,0,0,0,0,1
2,0,0,2,2,0,1741,0,0,0,1,2,10,0,2,0,1,0
2,0,0,2,2,0,5594,1,0,1,1,0,21,0,0,0,0,0
1,1,0,1,2,3,5082,1,1,0,0,0,14,0,0,1,0,0
2,1,0,2,0,3,2910,0,1,1,1,0,10,0,3,0,1,0
1,1,0,1,2,2,9018,1,1,1,1,0,6,0,2,0,1,0
2,0,0,2,0,2,4722,1,1,1,1,3,5,0,2,0,0,0
0,0,0,0,2,0,6681,1,1,0,1,0,13,0,0,0,0,1
2,0,1,2,0,1,2946,1,1,1,1,0,21,0,1,0,1,0
2,0,0,0,2,2,6657,1,1,0,0,0,21,0,0,0,0,0
