gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,142,2505,0
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,498,1466,0
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,436,157,1
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,266,1400,0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,729,925,1
0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,1274,6104,1
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,1075,1550,0
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,140,2609,0
0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,1371,2646,1
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,482,3022,0
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,375,4823,0
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,8,2836,0
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,1288,4693,0
1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,1349,4265,1
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,1385,2337,0
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,1519,5959,0
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,42,46,0
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,1409,5704,0
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,463,4416,1
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,1094,1433,0
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,237,3340,1
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,25,1651,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,32,1609,1
0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,541,3041,0
1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,535,2567,0
0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,465,959,0
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,1268,4019,1
1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,148,2592,1
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,1098,5135,0
0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,622,184,1
0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,1215,5354,0
1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,1198,1360,0
0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,650,1449,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,33,1610,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,310,3815,0
0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,1279,5644,0
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,709,2742,1
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,803,3073,0
1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,1402,3074,1
0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,1239,202,1
1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,367,4024,0
0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,699,4118,0
0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,44,3572,0
0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,897,4105,0
0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,831,6503,0
0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,985,3348,0
1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,361,6481,0
0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,913,809,1
1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,895,3599,0
0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,611,3625,0
0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,1098,3285,0
0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,1263,789,1
0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,705,1275,0
0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,913,5113,1
0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,804,3782,0
1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,1197,1274,1
