col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,class
2,156,0,2,1,13,8,30,1,1,1,0,0,42,0,0
1,328,93,2,1,11,4,65,1,1,6,0,0,118,119,0
1,89,16,2,1,11,4,36,1,0,0,0,0,74,140,0
2,125,46,2,1,13,8,73,1,1,5,1,0,1,3,0
2,43,109,2,1,13,8,41,1,0,0,0,2,8,0,0
2,168,86,2,1,10,8,57,1,0,0,1,0,96,0,0
2,179,33,2,1,12,4,98,1,0,0,1,0,25,236,0
1,74,169,2,1,3,8,1,1,0,0,0,0,159,168,0
2,310,16,3,3,9,4,74,1,0,0,0,0,34,94,0
2,255,100,3,3,13,8,68,1,0,0,1,0,140,172,0
2,64,27,2,1,2,4,50,0,0,0,1,0,10,0,0
2,145,53,2,1,2,4,79,1,0,0,0,0,67,76,0
1,220,114,2,1,9,8,25,1,0,0,1,0,0,0,0
2,282,115,2,1,9,8,1,0,0,0,0,0,0,195,0
1,270,159,2,1,11,8,84,1,1,7,1,0,0,0,0
2,211,92,3,3,9,8,6,1,1,10,1,0,86,0,0
2,129,29,2,1,10,8,24,1,1,3,1,0,108,0,0
1,78,113,2,1,11,8,69,1,1,10,0,0,8,84,0
2,61,9,2,1,4,4,17,1,0,0,1,0,0,0,0
1,34,136,2,1,3,4,19,1,1,7,0,0,167,0,0
2,94,166,2,1,2,8,57,1,1,17,0,0,40,158,0
2,78,32,2,1,2,8,22,1,0,0,0,2,80,0,0
1,280,131,2,1,2,8,105,1,1,6,1,0,0,163,0
1,121,192,2,1,14,4,66,1,1,1,0,0,8,11,0
1,244,118,2,1,11,8,13,1,1,3,1,0,18,0,0
1,3,19,2,1,2,4,36,1,1,2,0,0,1,0,0
1,274,184,2,1,7,1,88,1,1,9,1,0,0,0,0
2,318,202,2,1,4,1,125,1,1,17,1,0,0,0,0
2,322,135,2,1,5,4,100,1,1,3,0,0,0,0,0
2,252,33,2,1,13,8,84,1,1,6,1,0,136,227,0
2,138,194,2,1,1,8,85,1,1,5,1,0,27,0,0
2,251,148,2,1,14,4,106,1,1,8,0,0,0,0,0
2,291,128,2,1,7,1,104,1,1,15,1,0,0,212,0
1,212,104,2,1,5,8,84,1,0,0,1,0,0,205,0
1,70,161,2,1,11,8,10,1,1,5,1,0,0,119,0
2,125,45,2,1,13,8,46,1,1,11,1,0,121,29,0
2,119,47,2,1,3,4,43,1,1,12,1,0,146,130,0
1,75,172,2,1,14,4,13,1,1,2,1,0,80,118,0
2,124,19,3,3,3,8,6,1,1,2,0,0,67,114,0
2,311,142,2,1,6,3,124,1,1,11,1,0,79,93,0
2,188,139,2,1,2,8,80,1,1,12,1,0,0,79,0
2,136,195,2,1,2,4,90,1,1,11,0,0,0,190,0
2,142,43,2,1,13,4,19,1,1,1,0,0,61,49,0
2,234,190,2,1,13,8,110,1,1,6,1,0,152,0,0
2,316,214,3,3,2,8,131,1,1,21,0,0,0,15,0
2,309,121,2,1,2,4,60,1,1,11,1,0,0,91,0
1,243,55,3,3,11,4,3,1,1,20,1,0,127,161,0
2,166,93,2,1,3,4,96,1,1,3,0,0,83,93,0
2,247,46,2,1,7,1,72,0,0,0,0,0,49,0,0
2,84,21,2,1,2,8,4,0,0,0,0,0,1,0,0
1,103,16,2,1,2,4,23,1,0,0,1,0,134,0,0
2,106,32,2,1,11,8,42,1,0,0,1,0,74,0,0
2,215,55,2,1,13,8,1,1,0,0,1,0,111,218,0
2,196,65,2,1,13,8,0,1,0,0,1,0,59,76,0
2,189,72,2,1,3,4,102,1,0,0,1,0,0,0,0
2,79,170,3,3,13,8,22,1,0,0,1,0,23,93,0
2,77,0,2,1,3,8,2,1,0,0,0,0,0,0,0
2,265,16,2,1,7,4,84,1,0,0,1,0,86,0,0
2,198,94,2,1,14,4,94,0,0,0,1,2,153,0,0
2,261,72,2,1,11,4,95,1,1,11,0,0,159,0,0
2,319,176,2,1,10,8,30,1,1,4,1,0,40,0,0
2,163,198,2,1,4,8,64,1,1,9,0,0,62,132,0
1,80,26,3,3,11,8,36,1,1,2,1,0,159,108,0
1,46,28,2,1,11,8,38,1,1,1,0,0,0,0,0
2,113,91,2,1,3,8,78,1,1,1,1,0,8,0,0
2,188,46,2,1,3,8,37,1,1,1,1,0,141,237,0
1,203,32,2,1,2,8,46,1,1,11,0,0,0,110,0
2,100,12,2,1,10,8,6,1,1,3,0,0,67,233,0
2,36,118,2,1,13,4,35,1,1,7,0,0,159,198,0
2,198,211,2,1,14,4,39,1,1,1,1,0,138,114,0
2,171,126,2,1,5,1,38,1,0,0,1,2,116,0,1
2,195,86,2,1,4,1,118,1,0,0,1,0,170,0,1
1,223,101,2,1,3,8,121,1,0,0,1,0,168,0,1
2,264,16,2,1,10,8,115,1,0,0,0,2,111,0,1
2,266,122,3,3,2,8,39,0,0,0,0,0,23,2,1
2,48,106,2,1,11,8,9,1,1,1,0,0,23,0,1
2,187,118,2,1,1,8,3,1,0,0,1,0,123,0,1
1,34,19,3,3,1,8,15,1,0,0,1,0,23,0,1
2,59,37,3,3,9,8,57,1,1,1,0,0,34,20,1
2,57,147,2,1,2,8,6,1,0,0,0,0,15,0,1
2,292,203,2,1,6,3,0,1,1,1,0,0,166,0,1
1,123,45,2,1,10,8,46,1,0,0,0,2,97,0,1
2,235,16,2,1,10,8,6,1,0,0,0,2,75,0,1
1,349,81,2,1,4,8,64,1,0,0,1,0,80,0,1
2,119,20,2,1,1,8,11,1,0,0,1,0,40,0,1
2,213,86,2,1,2,1,84,1,0,0,1,2,74,0,1
2,349,12,2,1,4,8,23,1,0,0,1,2,164,0,1
2,102,59,3,3,1,8,75,1,0,0,0,0,37,0,1
2,186,94,2,1,1,8,25,1,0,0,1,0,61,0,1
1,289,45,2,1,8,5,0,1,0,0,1,0,1,25,1
2,334,182,3,3,2,4,84,1,0,0,0,0,5,0,1
2,161,196,2,1,2,8,13,1,0,0,0,0,8,0,1
2,349,101,3,3,1,8,109,1,0,0,0,0,0,0,1
2,303,42,3,3,2,4,113,1,0,0,1,0,40,49,1
2,135,45,3,3,2,8,36,1,0,0,1,0,0,80,1
