AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
3,0,0,0,0,2,7012.0,1,0,0,1,0,10,0,0,0,0,0
0,1,0,0,1,1,1290.0,0,1,0,0,0,14,0,0,0,0,1
0,0,0,0,0,3,3755.0,1,1,0,0,0,9,0,0,0,0,0
0,1,0,0,2,3,112.0,1,1,0,1,2,9,0,0,0,0,0
1,1,0,1,1,3,1756.0,1,1,0,0,2,10,0,2,0,1,1
2,0,0,2,0,2,6772.0,1,0,0,1,0,11,0,3,0,3,0
3,1,0,3,0,2,3749.0,0,0,1,1,0,11,0,7,0,3,0
1,0,0,0,2,3,3225.0,0,0,0,1,0,12,0,0,0,0,1
2,0,0,2,2,3,4434.0,0,1,1,0,0,11,0,0,0,0,0
2,0,0,0,0,2,5380.0,1,1,0,1,2,9,0,0,0,0,1
3,1,0,3,0,2,6797.0,1,0,1,1,0,8,0,6,2,7,0
3,0,0,3,0,2,8619.0,1,0,1,0,2,10,0,4,0,0,0
2,1,0,2,0,2,7188.0,1,1,1,1,0,6,0,4,1,2,0
0,0,0,0,2,2,6134.0,1,1,0,1,0,21,0,0,0,0,0
1,1,0,1,0,0,3096.0,1,1,1,1,0,10,0,0,2,1,0
1,0,0,0,0,2,8826.0,0,0,1,0,0,21,0,0,0,0,0
3,1,0,3,2,2,8930.0,1,1,1,1,2,21,0,10,2,1,0
0,1,0,0,1,1,9018.0,0,1,1,0,2,10,0,0,0,0,1
1,0,0,0,2,2,7992.0,1,1,0,1,2,21,0,0,0,0,1
0,0,0,0,0,3,2263.0,1,1,0,1,0,16,0,0,0,0,1
0,0,0,0,0,3,2096.0,0,1,0,0,0,15,0,0,0,0,1
0,1,0,0,0,0,5160.0,1,0,1,1,2,6,0,0,0,0,1
2,1,0,2,1,1,956.0,1,1,1,1,0,11,0,3,1,1,0
0,1,0,0,1,1,9018.0,0,1,0,0,0,15,0,0,0,0,0
3,1,0,3,0,2,3921.0,1,1,1,1,2,5,0,13,2,3,0
1,0,0,1,2,0,5122.0,1,1,1,0,0,12,1,0,0,0,0
2,1,0,1,0,0,6966.0,1,1,0,0,0,11,0,1,1,0,0
1,1,0,1,1,1,579.0,1,1,1,0,0,13,0,0,0,1,0
1,1,0,1,2,0,5121.0,0,0,0,0,0,15,0,0,0,1,0
3,1,0,0,2,2,7438.0,1,0,1,1,2,7,0,0,0,0,1
2,1,0,2,0,0,4433.0,1,0,1,1,3,5,0,2,0,1,0
3,0,0,3,2,2,8324.0,1,1,1,1,0,8,0,3,1,1,0
0,1,0,0,1,1,55.0,1,1,1,1,0,7,0,0,0,0,0
0,1,0,0,1,1,800.0,1,1,0,1,2,8,0,0,0,0,1
1,0,0,0,0,0,6434.0,1,1,1,1,1,9,0,0,0,0,1
0,1,0,0,2,3,4035.0,0,0,0,0,2,6,0,0,0,0,1
1,1,0,1,0,3,6915.0,1,1,0,1,0,15,0,3,0,2,0
2,0,0,1,1,0,9018.0,1,1,1,1,0,9,0,2,0,1,0
3,1,0,3,2,2,9018.0,0,0,0,1,0,10,1,6,0,5,0
2,1,0,1,2,2,5783.0,1,1,0,1,3,12,0,1,0,1,0
3,1,0,3,0,2,8382.0,1,1,1,1,0,8,0,5,1,3,0
2,1,0,2,2,2,7621.0,1,0,0,1,0,14,0,4,0,2,0
2,1,0,2,2,2,6037.0,0,0,1,1,2,7,0,10,2,0,0
0,1,0,0,1,1,2046.0,0,1,0,0,0,14,0,0,0,0,1
1,0,0,1,0,1,489.0,0,1,0,1,0,11,0,1,0,0,1
2,1,0,2,0,0,3956.0,0,1,0,0,0,12,1,3,0,4,0
3,1,0,2,0,2,6923.0,1,0,1,1,0,5,0,7,0,5,0
2,0,0,2,2,2,9018.0,1,0,1,1,3,9,0,3,0,2,0
1,0,1,1,2,3,1833.0,1,1,0,1,2,10,0,1,0,0,0
1,0,1,1,1,3,4008.0,0,1,0,1,0,12,0,1,0,0,0
2,1,0,2,2,2,7608.0,1,1,1,0,0,12,0,3,0,2,0
1,0,0,0,0,3,4491.0,0,1,0,0,0,15,0,0,0,0,1
3,1,0,2,2,2,5155.0,0,0,1,1,2,5,0,9,0,1,0
0,0,0,0,2,3,2815.0,0,1,1,1,0,6,0,0,0,0,1
0,0,0,0,1,3,4181.0,1,1,1,1,0,5,0,0,0,0,1
1,0,0,1,0,0,9018.0,1,0,1,0,0,13,0,0,0,0,0
0,0,0,0,0,1,3090.0,0,1,0,0,2,7,0,0,0,0,1
2,0,0,2,2,0,1741.0,0,0,0,1,2,10,0,2,0,1,0
2,0,0,2,2,0,5594.0,1,0,1,1,0,21,0,0,0,0,0
1,1,0,1,2,3,5082.0,1,1,0,0,0,14,0,0,1,0,0
2,1,0,2,0,3,2910.0,0,1,1,1,0,10,0,3,0,1,0
1,1,0,1,2,2,9018.0,1,1,1,1,0,6,0,2,0,1,0
2,0,0,2,0,2,4722.0,1,1,1,1,3,5,0,2,0,0,0
0,0,0,0,2,0,6681.0,1,1,0,1,0,13,0,0,0,0,1
2,0,1,2,0,1,2946.0,1,1,1,1,0,21,0,1,0,1,0
2,0,0,0,2,2,6657.0,1,1,0,0,0,21,0,0,0,0,0
2,0,1,1,0,3,4662.0,1,1,1,1,0,9,0,0,0,0,0
2,0,1,0,2,0,2426.0,1,1,0,0,0,13,0,0,0,0,1
3,1,0,2,2,2,8078.0,1,1,1,1,2,3,0,4,1,4,0
3,1,0,1,2,2,8197.0,1,1,1,1,0,8,0,2,0,0,0
3,1,0,2,0,2,6271.0,0,1,1,1,0,10,0,2,1,7,1
1,1,0,0,1,1,951.0,0,0,1,1,0,10,0,0,0,0,1
2,1,0,2,0,3,9018.0,1,1,0,0,0,10,0,5,0,7,0
1,0,1,1,1,3,9018.0,1,1,0,1,0,7,0,2,0,0,0
0,1,0,0,0,0,4118.0,1,1,0,1,0,14,0,0,0,0,0
1,0,0,0,2,2,8829.0,1,1,1,1,0,10,0,0,0,0,0
2,0,0,0,2,0,3418.0,1,0,1,1,0,12,0,0,0,0,0
2,0,0,2,2,2,8007.0,1,1,1,1,0,8,0,0,0,1,0
2,1,0,0,2,2,3194.0,1,0,0,0,0,14,0,0,0,0,0
0,0,0,0,0,3,1854.0,1,1,0,0,0,14,0,0,0,0,1
2,0,0,1,2,2,7655.0,1,0,1,1,0,12,0,0,0,0,0
2,1,0,2,2,2,7726.0,0,1,0,1,0,12,0,2,0,1,0
0,0,0,0,0,0,5359.0,1,1,0,1,0,9,0,0,0,0,0
1,0,0,1,2,2,8724.0,0,0,0,0,2,7,0,0,0,0,0
1,1,0,1,2,0,4657.0,1,1,1,1,0,11,0,1,0,2,0
1,0,0,1,0,0,4539.0,1,0,0,1,0,12,0,0,0,0,0
0,0,1,0,1,1,2155.0,0,1,0,0,0,12,0,0,0,0,1
2,1,0,2,0,3,1738.0,0,1,0,1,0,14,0,0,0,6,0
3,1,0,1,0,0,5077.0,1,1,1,1,2,7,0,3,1,1,0
0,1,0,0,2,2,5983.0,1,1,1,1,0,10,1,0,0,0,1
3,1,0,3,1,0,6296.0,1,1,1,1,0,12,0,6,1,3,0
2,1,0,2,2,2,6388.0,1,0,1,1,0,5,0,4,0,6,0
1,0,0,0,0,3,4193.0,1,0,1,1,2,21,0,0,0,0,0
2,0,0,2,0,2,5295.0,0,1,0,1,0,13,0,3,0,2,0
2,1,0,1,0,3,7000.0,0,1,0,0,0,11,0,0,0,0,1
2,1,0,0,0,3,4054.0,1,1,0,1,0,11,0,0,0,0,0
1,0,0,1,2,2,8598.0,1,1,1,1,0,13,0,2,0,0,0
3,1,0,2,2,2,8146.0,1,0,1,1,2,7,0,8,0,2,0
2,1,0,2,2,2,3465.0,0,0,1,0,0,12,0,1,0,2,0
1,1,0,1,2,2,9018.0,1,0,1,1,0,9,0,3,1,0,0
2,0,0,2,1,3,2680.0,1,0,1,1,0,9,0,1,0,2,0
0,0,0,0,1,0,7113.0,1,1,0,1,2,21,0,0,0,0,1
0,0,0,0,0,1,3011.0,0,1,0,0,0,21,0,0,0,0,0
1,1,0,0,1,1,716.0,0,1,0,1,0,12,0,0,0,0,0
0,1,0,0,0,1,253.0,0,1,1,1,0,9,0,0,0,0,1
0,1,0,0,0,1,687.0,0,1,0,0,0,12,0,0,0,0,1
1,1,0,1,0,2,8716.0,1,1,0,0,0,11,0,2,0,1,0
2,1,0,1,2,2,7808.0,1,0,1,1,0,12,0,0,0,0,0
3,0,0,3,0,2,8034.0,0,0,1,1,0,8,0,4,1,3,0
0,1,0,0,2,0,8978.0,1,1,0,0,0,11,0,0,0,0,1
3,1,0,3,1,0,9018.0,1,1,1,1,2,8,0,12,2,2,0
3,0,0,3,0,2,7023.0,1,1,1,0,0,9,0,2,0,2,0
0,1,0,0,0,1,471.0,0,1,0,1,0,13,0,0,0,0,1
0,1,0,0,2,3,3014.0,1,0,0,0,0,12,1,0,0,0,1
0,0,0,0,0,1,677.0,0,1,0,0,0,13,0,0,0,0,1
0,1,0,0,0,3,5119.0,0,1,1,1,2,8,0,0,0,0,1
0,1,1,0,1,1,805.0,1,1,1,0,2,7,0,0,0,0,1
1,1,1,1,1,3,2612.0,1,1,0,0,0,10,0,3,0,0,0
2,1,0,1,2,2,7018.0,1,1,1,1,2,5,0,5,0,1,0
0,1,0,0,2,3,2027.0,1,1,0,0,0,15,0,0,0,0,1
0,1,0,0,2,0,6875.0,1,1,1,0,0,9,0,0,0,0,0
3,1,0,1,2,2,8600.0,1,1,1,1,0,8,0,1,1,2,0
3,1,0,2,1,3,2407.0,1,1,1,0,0,12,0,3,1,7,0
1,0,0,1,1,0,3998.0,1,1,0,1,0,8,0,1,2,0,0
1,0,0,1,0,0,9018.0,0,1,0,0,0,10,0,2,0,0,0
3,1,0,3,2,2,8593.0,1,0,1,1,0,5,0,2,0,3,0
0,0,0,0,1,1,245.0,0,1,0,1,2,21,0,0,0,0,1
0,1,0,0,2,0,5722.0,1,1,0,0,0,9,0,0,0,0,1
0,1,0,0,0,1,9018.0,0,1,0,0,0,8,1,0,0,0,1
0,1,0,0,2,3,3224.0,1,0,0,1,2,7,0,0,0,0,1
3,1,0,2,2,2,8261.0,0,0,0,1,0,11,0,3,0,2,0
2,0,0,2,0,3,4907.0,1,1,0,0,0,13,0,1,1,0,0
3,1,0,3,0,2,7852.0,1,1,1,1,0,7,0,4,1,2,0
0,1,0,0,1,1,1730.0,0,1,0,0,2,6,0,0,0,0,1
0,1,0,0,2,0,5110.0,1,1,1,1,0,10,0,0,0,0,1
2,1,0,2,0,0,6286.0,0,0,1,0,0,12,0,4,1,4,0
1,0,0,1,1,3,9018.0,0,1,1,1,0,21,0,0,0,1,0
2,0,0,2,0,2,5882.0,1,0,1,1,0,9,0,2,0,1,0
1,0,1,1,0,0,4848.0,1,1,1,1,0,21,0,0,0,1,0
3,1,0,2,2,2,7092.0,1,0,0,1,0,12,0,3,1,4,0
2,1,0,2,0,0,5130.0,1,0,1,0,2,10,0,6,0,3,0
1,0,0,0,2,0,909.0,0,1,0,0,0,14,0,0,0,0,1
2,1,1,2,0,0,6051.0,1,1,1,1,0,11,0,7,1,1,0
3,0,0,0,2,2,8338.0,0,1,1,1,3,8,0,0,0,0,1
3,0,0,0,2,2,8597.0,1,1,0,1,0,11,0,0,0,0,0
1,1,0,1,2,3,9018.0,0,1,1,1,0,10,0,3,2,3,1
3,1,0,3,2,2,8641.0,1,1,1,1,0,10,0,5,1,5,0
0,0,0,0,1,1,101.0,1,1,0,0,2,10,0,0,0,0,1
1,1,0,1,2,0,3146.0,0,1,0,0,0,14,0,0,1,0,0
2,0,0,2,2,2,7596.0,1,0,1,0,3,11,0,1,0,1,0
3,1,0,3,2,2,6338.0,1,1,1,1,0,11,0,5,2,4,0
