age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
20,4,26319,9,5.663462136194591,2,8,0,2,1,0,0,39,39,0
46,6,13389,15,7.969815117074086,2,3,0,4,1,0,0,39,39,1
47,4,17354,11,7.999313627479874,2,1,5,4,0,0,0,34,39,0
6,4,11312,15,7.958424340487032,4,4,4,4,0,0,0,35,39,0
17,4,1723,15,9.964488307299577,2,1,5,4,0,0,64,39,39,1
21,6,9953,15,12.913028705412822,2,4,0,4,1,0,49,38,39,1
9,4,24733,9,11.922319858869413,4,4,1,4,1,0,0,39,39,0
21,4,21179,6,5.200806459433081,4,8,1,2,1,0,0,39,39,0
5,4,18441,9,11.979005353447922,2,4,4,4,1,0,0,39,39,0
31,5,23127,8,10.074576818157968,2,5,0,4,1,0,0,39,39,0
23,6,4517,8,5.360856982268042,0,8,1,3,1,0,0,39,39,0
25,6,15346,5,9.001757367084497,2,5,0,4,1,0,0,39,39,1
25,4,24167,15,8.984923534181453,4,4,4,4,0,0,0,39,39,0
48,2,5718,15,5.599416913094793,2,5,0,4,1,0,0,76,39,1
8,0,10095,15,8.961598255096135,4,0,4,2,0,0,0,39,39,0
4,4,21293,9,11.997738563597581,4,0,4,2,1,0,0,36,24,0
13,4,21065,11,7.92715559205011,2,3,0,4,1,0,0,47,39,0
12,4,-1654,11,7.975394653106545,4,4,1,4,1,0,0,48,39,0
39,2,13137,0,8.99561639193665,2,5,0,4,1,0,0,74,39,1
15,4,4400,11,7.977235447968959,4,3,1,4,1,0,0,46,39,0
6,4,20130,6,0.9334752693134942,4,7,1,4,1,0,0,63,39,0
25,2,10865,7,8.978123445760657,0,4,1,4,1,0,0,56,39,0
16,5,1362,5,10.021100678687423,2,4,5,4,0,0,67,39,39,0
19,6,11888,5,5.522798834169098,2,3,0,4,1,0,0,48,39,0
38,4,17558,11,7.951836028632338,4,3,1,3,1,48,0,49,24,0
3,4,18346,7,9.839582060687526,2,13,4,1,0,0,0,35,22,0
-4,4,8162,6,2.879911319225171,4,0,3,4,0,0,0,39,39,0
17,4,20596,11,7.980793132444487,4,4,1,4,1,0,0,49,39,1
15,6,10773,9,11.949322984570275,2,4,4,4,1,0,0,39,39,0
24,2,5045,12,8.955708439001729,2,1,5,4,0,0,63,33,39,1
10,4,499,15,8.9714853401477,5,4,4,2,0,0,0,39,39,0
17,4,20101,7,6.024960297210584,2,8,0,1,1,0,0,39,39,0
11,4,5243,4,2.127757260938006,5,7,3,2,1,0,0,39,13,0
24,4,-286,9,12.031850968526879,5,0,4,4,1,0,0,39,24,0
3,4,2915,11,7.9999121889510665,4,8,3,4,0,0,0,36,4,0
-1,4,1709,11,7.9804702557566785,4,4,3,4,1,0,0,45,39,0
40,4,5555,11,7.976432810884975,2,3,0,4,1,0,0,39,39,0
9,4,11483,6,9.865816106137935,4,0,4,2,0,0,0,39,39,0
1,4,12480,0,1.7639042521645563,4,8,1,1,1,0,0,35,36,0
39,0,24622,11,7.979303794666309,4,8,4,2,0,0,0,39,39,0
35,4,2804,5,1.708569986559796,5,7,1,4,1,0,0,39,40,0
30,4,25287,11,7.964741547534738,4,8,1,4,1,0,0,39,39,0
36,6,9155,11,7.961192310985055,2,3,0,4,1,0,0,39,39,1
32,4,8487,15,8.957173511591359,4,4,4,4,0,0,0,39,39,0
-3,4,214,4,3.8594041818473594,4,8,3,4,0,0,0,27,39,0
21,4,1046,15,8.928482960568342,0,4,4,4,0,0,20,38,39,1
17,6,7351,11,7.958770665719219,2,14,0,4,1,0,0,39,39,1
22,4,7513,9,11.95341161585786,4,4,1,4,0,0,0,39,39,0
5,4,21709,9,11.942962405230869,4,12,1,4,1,0,0,39,39,0
2,4,14171,11,7.980918093976632,2,4,4,4,0,0,73,20,39,1
48,3,721,6,5.331063658911812,0,8,1,2,0,0,0,39,39,0
22,4,22914,14,13.162303129007705,5,4,5,4,0,0,0,36,25,0
6,4,20600,11,1.178286772378415,4,14,3,2,1,0,0,39,39,0
2,4,5045,11,7.933415942103125,2,7,0,1,1,0,0,32,13,0
13,4,1556,11,7.92980481485688,4,4,1,4,0,0,0,35,39,0
20,6,18673,9,11.86242749835998,2,10,0,4,1,108,0,39,39,1
1,4,3920,11,8.000269948861304,6,1,3,4,0,0,0,18,39,0
31,5,7104,15,10.07892041297729,2,11,0,4,1,0,0,39,39,1
12,4,13001,9,11.952239822416352,5,4,4,2,0,0,10,39,40,0
66,6,12915,9,11.836092593964006,2,3,0,4,1,0,0,50,39,0
25,4,24368,11,7.978569888411377,2,3,0,4,1,0,0,44,39,1
29,4,13652,11,7.978848433936454,2,1,5,4,0,0,0,48,39,1
23,5,3889,12,9.80035202666455,2,4,5,4,0,0,60,39,39,1
13,4,4522,11,8.006036197966846,4,4,3,4,1,0,0,39,39,0
26,5,15041,12,5.66020504193357,2,11,0,4,1,0,0,59,39,0
8,4,21303,11,7.967509303037137,2,3,0,4,1,0,0,45,39,0
8,4,22084,11,2.0681261884873017,4,8,1,2,1,0,0,39,39,0
53,6,7402,11,7.944015679685302,5,8,0,4,1,0,0,48,39,0
3,4,13219,9,11.929393204677504,2,13,0,4,1,0,0,26,39,0
12,6,2820,11,7.924339186777243,2,3,0,4,1,0,0,74,39,0
15,1,-156,15,12.664252282074418,2,1,5,4,0,0,49,39,39,1
-1,4,23216,11,2.6780532620263653,4,7,3,4,1,0,0,18,0,0
38,4,6813,11,7.965949778535633,2,3,0,4,1,0,0,49,39,0
24,4,2512,11,7.940990920284502,0,3,1,4,1,0,0,39,39,1
16,4,1882,11,7.9939287264592584,4,6,1,4,1,0,0,48,39,0
17,4,7044,9,11.942348542267897,2,4,4,4,1,0,0,39,39,0
18,5,13882,15,8.95388484957444,2,3,0,4,1,0,0,56,39,1
-2,0,7917,5,1.429967107487662,5,0,3,2,1,0,0,24,39,0
13,4,2007,9,12.003015617673427,4,4,4,4,0,0,0,39,39,1
19,7,9470,1,10.060658675247272,2,5,0,4,1,0,0,39,39,1
9,4,10015,9,11.981338483683691,5,4,4,1,0,0,0,39,32,0
3,4,13551,11,7.994461060296023,2,3,0,4,1,45,0,48,39,0
25,5,23599,9,12.018083529059476,2,10,0,4,1,0,0,39,39,1
47,6,17364,11,7.995563939936206,2,5,5,4,1,0,0,57,39,0
9,6,16624,11,7.9341549007552015,2,3,0,4,1,0,0,48,39,0
3,4,12549,11,2.754094853502785,4,8,3,4,1,0,0,37,39,0
13,5,12878,9,12.010540797193075,2,10,0,4,1,0,0,39,39,1
16,4,10585,9,12.003160171312052,2,5,0,4,1,0,0,39,39,1
1,4,21323,15,7.989407987200825,4,3,3,4,1,0,0,48,39,0
12,4,20908,9,11.998853256005964,5,4,4,1,0,0,0,39,0,0
-2,4,17832,15,7.983591420830739,4,8,3,4,0,0,0,39,39,0
76,6,6898,15,8.984564592522704,2,10,0,4,1,0,0,54,39,1
15,4,16757,11,7.981661551178432,4,6,3,4,1,0,0,39,39,0
21,4,20614,11,7.995063876475095,2,3,0,4,1,0,0,58,39,1
3,4,7584,5,4.90835633685893,2,7,0,4,1,0,0,26,39,0
40,4,1305,11,7.96627561141326,6,0,4,2,0,0,0,37,39,0
9,4,22022,6,1.594408822700711,4,8,1,2,1,0,0,39,39,0
