col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,class
2,238,-35,2,3,2,0,9,0,0,0,1,0,142,-7,1
2,105,-16,2,1,1,8,-7,1,0,0,0,0,142,-5,1
2,66,270,2,1,2,4,41,1,1,16,1,0,-3,-6,0
2,79,-38,2,1,2,5,-1,0,0,0,1,2,37,-4,0
2,166,248,3,1,11,8,72,1,1,16,0,0,45,168,0
2,67,70,3,3,6,4,19,1,0,0,0,0,92,-1,0
2,80,9,3,1,6,8,114,0,0,0,0,0,149,-4,1
2,204,-24,2,1,1,8,5,0,0,0,0,0,46,-4,1
1,85,0,3,3,14,8,1,0,0,0,0,0,44,-4,0
2,90,150,2,1,11,1,67,1,1,2,0,1,0,-1,1
1,26,202,3,1,1,8,67,1,1,1,0,0,70,-2,0
1,79,67,2,1,13,8,1,1,1,7,0,0,91,25,1
1,76,44,3,1,14,8,39,1,0,0,1,0,40,-1,1
2,206,92,2,1,4,4,96,1,0,0,0,0,153,-4,0
2,108,85,2,1,2,8,49,1,0,0,0,0,81,-1,1
2,276,-39,2,3,9,4,2,0,0,0,0,0,70,23,1
2,368,167,3,0,4,4,1,1,0,0,1,0,32,57,0
2,30,49,3,3,7,8,19,1,0,0,0,2,38,0,0
0,104,-15,2,1,1,8,4,1,0,0,0,0,152,30,1
1,247,129,2,1,2,8,8,1,1,2,1,0,35,143,1
2,106,-39,3,1,4,5,1,0,0,0,1,0,6,27,1
2,121,-13,2,1,8,4,17,1,0,0,0,2,48,-5,0
2,116,88,2,1,2,8,82,1,1,11,1,0,-8,176,0
2,86,124,2,1,5,4,6,0,0,0,1,0,84,-4,0
2,115,-16,3,1,13,8,1,1,0,0,1,0,29,154,1
1,108,-32,2,3,13,4,-1,1,0,0,0,0,0,32,1
2,193,-13,2,3,2,8,-2,0,0,0,1,0,11,-1,1
0,212,7,2,1,3,8,64,0,0,0,0,1,25,-7,1
1,133,218,1,1,14,8,96,1,1,11,1,0,141,159,0
1,165,138,2,1,3,3,71,1,1,5,0,0,135,-5,0
1,202,272,2,1,11,8,28,1,1,2,1,0,6,2,0
1,267,75,2,1,5,0,83,1,0,0,0,0,93,122,1
1,92,-2,2,1,11,3,9,1,0,0,0,0,25,154,1
2,30,75,2,1,13,1,24,1,1,10,0,0,30,0,0
2,296,32,3,1,2,8,11,0,0,0,1,0,86,68,1
2,122,243,2,1,13,4,69,1,1,2,1,0,64,-4,0
2,241,-38,3,1,13,5,8,0,0,0,1,0,53,-5,1
2,58,-31,3,3,2,4,-2,0,0,0,1,0,33,-5,1
2,239,-41,2,3,9,8,-11,0,0,0,0,0,81,13,1
2,246,69,2,1,11,8,26,1,1,8,0,0,145,148,0
1,212,-25,3,3,13,8,6,0,0,0,0,0,4,-2,1
2,90,20,3,3,3,4,7,0,0,0,1,2,93,2,1
1,163,151,2,1,1,4,46,1,1,9,1,0,72,181,0
2,111,102,2,0,11,8,69,1,0,7,0,0,42,155,1
2,319,8,2,1,3,8,21,0,0,0,1,0,81,0,1
2,342,14,0,1,8,3,0,0,0,0,1,0,30,-3,1
2,311,-30,2,1,9,8,-1,0,0,0,1,0,7,-5,1
1,236,32,2,1,13,8,100,1,0,0,0,0,8,19,0
2,172,-12,2,1,11,8,-2,0,0,0,0,2,6,27,1
1,248,51,2,1,10,8,71,1,0,0,0,0,6,48,0
2,88,-33,3,1,10,3,6,0,0,0,0,0,154,-4,1
1,145,2,2,3,4,4,41,0,0,0,1,0,10,-6,1
2,266,5,3,1,14,8,16,1,0,0,1,0,24,29,1
1,83,67,2,3,3,8,73,1,1,2,1,0,88,197,0
1,182,256,2,1,3,8,36,1,1,5,0,0,75,173,0
2,174,-38,3,1,4,8,6,0,0,0,0,0,28,23,1
2,321,40,2,3,2,3,5,1,0,0,1,0,105,-4,1
1,59,-36,3,1,1,5,5,0,0,0,0,0,34,-5,1
2,92,-34,2,3,2,5,-5,0,0,0,0,2,72,-7,1
2,289,-16,2,1,10,8,12,1,0,0,0,2,10,131,1
2,192,37,2,3,0,8,45,0,0,0,0,0,6,-1,1
2,249,-12,3,1,9,8,3,0,0,0,1,0,49,-1,1
2,166,35,2,1,9,3,8,0,0,0,1,0,46,155,1
2,265,70,2,1,3,8,8,1,1,1,0,0,44,66,0
2,308,42,2,1,7,4,12,1,0,0,0,2,35,2,0
2,169,96,2,1,11,4,47,1,1,1,0,0,4,0,0
2,83,-7,2,1,1,2,32,0,0,0,1,2,147,-3,0
1,75,134,3,1,2,8,20,1,0,0,1,0,8,-7,0
1,315,150,2,1,2,4,76,1,1,9,1,0,2,9,0
2,299,-25,3,1,9,0,2,0,0,0,0,2,144,-2,1
1,78,-12,3,1,14,5,4,0,0,0,0,0,9,35,0
1,200,39,3,1,13,0,0,1,0,0,1,0,11,-4,1
2,101,-35,3,1,9,5,-5,0,0,0,0,0,3,-11,1
2,279,187,2,3,10,1,5,1,0,0,1,0,43,-6,1
2,277,-22,3,1,2,9,7,1,0,0,0,0,85,-2,1
2,157,-21,2,1,4,0,23,0,0,0,1,0,7,-4,1
2,248,72,3,1,4,8,80,1,1,2,1,0,82,-4,0
2,154,36,2,3,6,0,46,1,0,4,1,0,35,-9,0
1,109,207,2,1,11,8,3,1,1,5,1,0,148,183,0
2,94,255,2,1,14,8,91,1,1,5,0,0,7,185,0
2,112,-38,2,1,1,8,5,0,0,0,0,0,29,-6,1
2,273,76,3,1,2,8,9,0,0,0,1,0,2,144,1
2,329,13,2,1,2,8,-2,1,0,0,1,0,49,-5,1
2,25,261,2,1,3,8,37,1,1,6,0,0,29,185,0
2,87,22,3,1,2,8,65,0,0,0,1,2,3,-4,0
2,81,130,2,3,0,8,12,1,0,2,1,0,3,-7,0
2,106,-32,3,3,10,4,1,0,0,0,0,0,152,-2,1
2,104,166,3,1,14,8,-6,1,0,0,0,0,141,5,0
1,90,116,2,3,3,8,35,1,0,0,0,0,49,-3,1
1,226,141,2,3,2,4,30,1,1,2,1,0,36,4,0
2,165,102,2,1,13,2,2,1,0,0,1,0,131,-2,1
2,89,-3,3,3,9,8,0,1,0,0,1,0,8,-4,1
1,333,-27,3,1,6,8,-6,0,0,0,1,0,47,-6,1
1,224,182,2,1,13,4,27,1,1,4,0,0,133,145,0
2,282,19,2,1,8,4,31,1,1,7,0,0,-2,161,0
2,175,224,2,1,13,1,34,1,1,11,1,0,5,4,0
2,347,51,2,1,10,8,57,0,0,0,1,0,152,-4,1
2,41,28,2,1,7,4,60,0,0,0,1,0,149,-2,1
1,272,147,2,3,2,5,89,1,1,7,1,0,67,-3,1
2,111,96,2,1,1,3,14,0,0,0,1,2,158,138,1
2,97,63,2,1,13,8,102,1,1,2,0,0,10,90,0
2,175,243,2,1,2,8,35,1,1,1,1,0,3,2,1
1,291,-7,2,1,14,8,2,1,0,0,1,0,5,40,1
1,166,116,3,1,4,8,40,1,1,11,0,0,145,182,0
0,338,1,2,1,6,8,39,1,0,0,0,0,0,0,1
2,78,34,3,1,2,4,37,0,0,0,1,0,164,-8,1
0,106,19,2,1,2,4,2,1,0,0,1,0,8,0,0
