Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,1,0,1871,4776,0,0,2,0,0,0,0,2,0,0
0,0,0,0,2,272,0,4673,0,0,2,1,1,0,1,2,0,0
0,0,0,0,1,0,1871,4776,0,0,2,3,0,8,2,2,0,0
0,0,0,0,2,4,1725,4744,0,0,2,2,1,1,3,2,0,0
0,0,0,0,10,3674,1391,4164,0,0,2,2,2,0,3,2,1,0
0,0,0,0,19,862,1253,2714,0,0,2,1,1,0,2,2,0,0
0,0,0,0,1,0,1871,4776,0,2,2,1,3,2,2,2,0,0
1,0,0,0,0,0,1871,4776,0,0,2,0,1,0,4,2,1,0
0,0,0,0,2,124,0,4673,0,4,2,1,1,1,2,2,0,0
0,0,0,0,3,4197,0,2443,0,2,2,1,3,0,1,2,0,0
0,0,0,0,3,2432,0,4453,0,0,2,0,0,2,2,2,0,0
0,0,0,0,16,2498,1352,2852,0,2,2,0,0,3,2,2,0,0
0,0,0,0,7,1717,0,3101,0,0,2,0,0,0,2,2,0,0
0,0,0,0,6,478,0,4453,0,0,2,1,4,0,2,2,0,0
0,0,0,0,2,300,0,4673,0,0,2,2,1,2,2,2,0,0
2,490,0,0,23,6897,841,1639,0,0,2,0,0,8,2,2,0,0
0,0,0,0,1,0,1871,4776,0,0,2,0,0,3,2,2,0,0
0,0,0,0,13,2063,0,492,0,0,2,0,0,0,3,2,1,0
0,0,0,0,2,94,0,4673,0,0,2,1,1,0,2,2,0,0
0,0,0,0,20,8367,0,755,0,0,2,1,3,3,3,2,0,0
0,0,0,0,8,736,0,559,0,5,2,1,1,4,0,2,1,0
0,0,0,0,2,0,1871,4776,0,0,2,2,2,0,2,2,0,0
0,0,0,0,3,526,0,3473,0,0,2,2,1,0,4,2,0,0
0,0,0,0,2,28,0,4673,0,4,2,1,3,0,2,2,0,0
0,0,0,0,1,0,1871,4776,0,0,2,1,1,3,0,2,1,0
0,0,0,0,5,874,0,3837,0,0,2,0,0,8,2,2,0,0
4,631,0,0,32,5606,318,697,0,0,2,1,1,0,2,2,0,0
0,0,0,0,4,354,1725,4673,0,0,2,0,0,0,2,2,0,0
0,0,0,0,4,267,0,4164,0,1,2,1,5,0,2,2,0,0
1,13,1,0,45,6734,1690,4178,2360,2,2,2,1,0,0,2,0,0
0,0,0,0,2,108,0,4673,0,0,2,0,0,5,2,2,0,0
0,0,0,0,3,362,0,4453,0,0,2,0,1,5,5,2,1,0
0,0,0,0,8,1243,0,2758,0,0,2,1,1,0,0,2,0,0
0,0,0,0,10,1067,1667,4574,0,0,2,0,0,2,0,2,0,0
0,0,0,0,14,2344,1189,3101,0,0,2,1,1,0,0,2,0,0
0,0,0,0,52,7556,1230,2202,0,0,2,1,1,6,0,2,0,0
0,0,0,0,8,2396,1492,4305,0,0,2,2,1,0,3,2,1,0
2,96,0,0,5,1829,0,3101,0,4,2,1,1,7,3,2,0,0
0,0,0,0,7,267,1545,4508,0,3,2,1,1,0,2,2,0,0
0,0,0,0,9,2926,0,2443,0,0,2,1,4,0,5,2,0,0
1,27,0,0,46,8857,0,67,0,0,2,1,1,7,3,2,0,0
0,0,0,0,3,53,0,4453,0,3,2,0,0,2,1,2,0,0
0,0,0,0,15,1898,0,398,0,0,2,0,0,3,3,2,0,0
0,0,0,0,2,103,0,4164,0,2,2,2,1,1,2,2,0,0
0,0,0,0,4,417,0,4164,0,0,2,3,0,0,2,2,0,0
0,0,0,0,22,3650,340,355,0,1,2,1,4,0,3,2,0,0
0,0,0,0,14,1325,1299,4317,0,0,2,0,0,0,1,2,0,0
0,0,0,0,3,374,1783,4740,0,1,2,2,1,0,2,2,0,0
0,0,0,0,11,4452,0,169,0,0,2,2,1,0,2,2,0,0
0,0,0,0,1,0,1871,4776,0,3,2,1,1,2,1,2,0,0
0,0,0,0,1,0,1871,4776,0,0,2,0,0,2,3,2,1,0
0,0,0,0,12,1599,1015,2876,0,1,2,2,1,0,2,2,0,0
0,0,0,0,2,83,0,4673,0,5,2,1,3,3,1,2,1,0
0,0,0,0,4,905,0,4539,0,0,2,3,1,1,2,2,0,0
0,0,0,0,4,729,1725,2758,0,2,2,2,2,0,3,2,0,0
0,0,0,0,1,0,1871,4776,0,1,2,1,3,0,2,2,0,0
0,0,0,0,1,0,1871,4776,0,3,2,2,1,2,2,2,0,0
4,525,2,503,36,5186,0,1404,1526,1,2,1,1,3,0,2,0,0
0,0,0,0,4,519,0,4164,0,2,2,1,5,5,2,2,0,0
2,79,0,0,16,2359,1057,4076,0,3,2,1,3,1,0,2,0,0
0,0,0,0,6,966,0,1690,0,2,2,0,0,2,2,2,0,0
0,0,0,0,8,2459,1725,4717,0,0,2,0,0,0,2,2,0,0
12,2488,0,0,42,6660,891,2105,2109,0,2,0,0,2,1,2,0,0
0,0,0,0,14,4071,0,430,0,0,2,1,1,4,3,2,1,0
0,0,0,0,1,0,1871,4776,0,0,2,1,1,3,2,2,0,0
3,918,0,0,27,4446,0,1115,1678,4,2,1,1,2,0,2,0,1
4,371,0,0,90,9333,230,1448,0,0,2,3,0,0,2,2,0,0
0,0,0,0,1,0,1871,4776,0,3,2,1,1,4,0,2,0,0
0,0,0,0,18,4874,0,463,0,0,2,1,6,1,3,2,0,0
0,0,0,0,1,0,1871,4776,0,1,2,2,1,2,2,2,0,0
0,0,0,0,1,0,1871,4776,0,0,2,1,5,0,1,2,0,0
0,0,0,0,20,1164,1492,4229,0,0,2,1,5,5,0,2,0,0
0,0,0,0,2,153,0,4673,0,2,2,1,1,2,2,2,0,0
0,0,0,0,8,2602,0,1095,0,0,2,1,3,2,1,2,0,0
0,0,0,0,3,722,0,4453,0,0,2,1,3,2,2,2,0,0
0,0,0,0,16,3477,0,2758,0,0,2,1,3,0,0,2,0,0
10,3251,0,0,36,7592,497,1362,1041,0,2,1,5,0,1,2,0,1
0,0,0,0,2,354,0,4164,0,3,2,2,1,2,2,2,0,0
0,0,0,0,1,0,1871,4776,0,5,2,0,0,0,2,2,1,0
0,0,0,0,1,0,1871,4776,0,2,2,0,0,0,2,2,0,0
0,0,0,0,7,1236,0,3101,0,0,2,3,0,0,4,2,1,0
0,0,0,0,4,1639,0,1690,0,4,2,0,0,0,2,2,0,0
0,0,0,0,6,136,0,2156,0,0,2,1,1,0,2,2,0,0
0,0,0,0,12,2318,1279,4338,0,0,2,2,1,3,0,2,0,0
0,0,0,0,1,0,1871,4776,0,4,2,1,1,1,0,2,1,0
0,0,0,0,1,0,1871,4776,0,0,2,0,0,0,2,2,0,0
0,0,0,0,7,833,1752,4608,0,0,2,1,1,1,0,2,0,0
0,0,0,0,3,747,0,4453,0,0,2,0,0,0,2,2,0,0
0,0,0,0,7,2079,1545,2634,0,2,2,3,0,2,2,2,0,0
0,0,0,0,19,3643,0,522,0,0,2,0,0,3,1,2,0,0
2,279,0,0,15,964,0,993,0,2,2,0,0,0,2,2,0,0
0,0,0,0,1,0,1871,4776,0,0,2,0,0,0,1,2,1,0
0,0,0,0,2,205,0,4673,0,0,2,0,0,0,2,2,0,0
0,0,0,0,13,3777,0,1495,0,0,2,1,1,0,4,0,0,0
0,0,0,0,27,4951,424,2861,0,3,2,3,0,2,2,2,0,0
0,0,0,0,2,99,0,4673,0,1,2,0,0,0,2,2,0,0
