age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,cluster
49,6,5804,9,12,2,3,0,4,1,22,0,39,11,0,100
51,4,3042,6,4,2,3,0,2,1,0,0,43,38,0,100
19,6,6691,11,8,4,3,3,4,1,0,0,34,38,0,102
12,4,8316,4,2,4,8,1,4,1,0,0,24,25,0,100
13,4,6969,7,11,4,10,4,2,0,0,0,35,38,0,102
29,4,7970,14,14,2,10,0,4,1,97,0,59,38,1,101
13,4,3061,11,8,2,12,0,4,1,0,0,41,38,0,1
34,6,8232,15,9,2,3,0,4,1,0,0,39,38,0,100
10,4,6668,7,11,2,13,5,4,0,0,0,37,38,0,2
21,4,5999,11,8,2,3,0,4,1,0,0,39,38,0,1
23,4,4032,8,10,0,10,1,4,0,0,0,19,38,0,100
25,4,6755,15,9,2,10,0,4,1,0,0,49,38,0,1
19,4,4650,15,9,4,10,1,4,0,0,0,39,38,0,2
33,7,7355,12,13,0,10,4,4,0,0,0,39,38,0,100
33,4,8107,15,9,2,7,0,4,1,54,0,39,38,0,101
19,4,5214,1,6,4,11,1,2,1,84,0,39,38,1,101
5,4,7752,11,8,4,12,4,4,1,0,0,19,38,0,102
22,4,2258,8,10,4,7,1,4,1,0,0,39,38,0,1
31,4,401,12,13,2,10,0,4,1,0,0,71,38,0,100
34,4,7348,11,8,0,3,1,4,1,0,0,39,38,0,1
20,2,1288,12,13,0,4,1,4,0,0,0,39,38,0,102
7,4,8167,15,9,4,6,1,4,1,0,0,39,38,0,2
14,4,8469,0,5,2,1,5,4,0,0,0,39,38,0,102
15,2,735,11,8,4,14,1,0,1,0,0,39,38,0,102
6,4,4950,11,8,4,3,1,4,1,0,0,39,38,0,2
19,1,8163,12,13,2,10,0,4,1,0,0,44,38,1,101
28,4,7247,9,12,0,4,1,4,1,0,0,39,38,1,101
2,4,6775,11,8,4,6,3,4,1,0,0,19,38,0,102
37,7,3468,12,13,3,10,1,1,0,0,0,39,3,0,102
6,4,1140,15,9,4,3,3,4,1,0,0,29,38,0,102
2,4,4451,11,8,4,6,1,4,0,0,0,36,38,0,2
19,4,820,11,8,2,3,0,2,1,0,0,39,38,0,100
21,2,3638,15,9,4,8,1,4,1,0,0,11,38,0,102
16,4,8108,15,9,2,6,0,4,1,0,0,49,38,1,101
71,2,4575,7,11,2,1,0,1,1,0,0,19,29,0,100
22,4,2322,9,12,0,12,1,1,1,0,0,39,3,0,100
26,6,4890,11,8,0,3,3,4,1,0,0,34,38,0,100
5,4,7900,11,8,4,3,1,4,1,0,0,39,38,0,2
34,6,8085,15,9,0,3,1,4,1,0,0,7,32,1,101
42,4,1411,14,14,2,4,0,2,1,0,0,39,0,0,100
32,4,8293,9,12,2,4,0,4,1,76,0,39,38,1,101
5,0,4328,15,9,4,0,1,1,0,0,0,11,36,0,102
0,0,6474,2,7,4,0,3,4,1,0,0,29,38,0,102
15,4,5875,8,10,2,10,0,4,1,73,0,41,38,1,101
32,4,5088,9,12,2,12,0,4,1,0,63,54,38,1,103
38,4,5009,12,13,2,4,0,4,1,97,0,54,38,1,101
17,4,6010,11,8,5,3,4,4,1,0,0,48,38,0,2
36,4,7067,9,12,0,13,1,4,0,0,0,39,38,0,1
20,4,8066,11,8,2,4,0,4,1,0,0,39,38,1,101
8,4,4134,15,9,4,6,1,4,1,0,0,39,38,0,2
20,4,6208,9,12,0,4,4,4,0,74,0,44,38,1,101
24,5,3110,15,9,2,4,0,4,1,0,63,54,38,1,103
3,4,758,15,9,4,6,3,4,1,0,0,19,38,0,102
6,4,5825,11,8,4,12,2,2,0,0,0,24,22,0,102
