age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,cluster
27,4,23759,11,8,3,3,4,4,1,0,0,39,4,0,100
33,4,13231,11,8,2,12,0,4,1,98,0,55,39,1,103
36,1,22147,11,8,2,10,0,4,1,0,0,39,39,1,101
14,4,20271,9,12,2,14,0,4,1,0,0,54,26,0,101
34,7,15747,11,8,2,3,0,4,1,0,0,55,39,1,101
1,0,16194,0,5,4,0,3,2,1,0,0,39,39,0,102
16,2,7331,9,12,0,11,4,4,0,0,0,59,11,0,100
10,4,12122,9,12,2,3,0,4,1,0,0,39,39,0,1
28,2,12380,7,11,2,6,0,4,1,0,0,39,39,0,101
30,4,1335,11,8,0,8,1,4,0,0,0,3,39,0,100
31,1,28048,11,8,3,1,4,4,0,15,0,39,39,0,100
3,4,11751,11,8,4,3,1,4,1,0,0,39,39,0,2
46,0,5804,11,8,6,0,1,4,0,0,0,6,39,0,100
12,4,9622,11,8,2,7,0,4,1,0,0,44,39,0,1
32,4,1823,11,8,4,14,4,2,0,16,0,39,39,0,100
7,6,23206,9,12,4,10,3,4,1,0,0,24,39,0,100
24,6,7335,15,9,2,7,0,4,1,52,0,39,39,1,103
19,4,1938,15,9,0,10,1,4,0,0,0,39,39,0,1
33,4,20253,4,2,2,14,0,4,1,0,0,36,26,0,102
13,4,7797,11,8,2,12,0,4,1,0,0,49,39,0,1
42,4,4863,15,9,2,3,0,4,1,0,0,39,39,1,101
23,4,23262,1,6,5,7,1,2,1,0,0,35,39,0,102
19,4,5358,8,10,0,3,1,4,1,0,0,39,39,0,1
8,4,20259,15,9,4,8,3,2,1,0,0,41,39,0,100
45,4,16731,12,13,2,4,0,4,1,0,0,54,39,0,101
12,4,8594,9,12,2,10,0,4,1,0,0,39,39,1,101
30,7,17469,8,10,2,4,0,4,1,0,0,37,39,1,101
18,4,10961,15,9,2,12,0,4,1,79,0,69,39,0,103
11,2,2391,12,13,4,10,1,4,0,0,0,39,39,0,100
