age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cluster,income
26,4,4186,11,7.999552537705137,6,3,3,4,1,0.0,0,39,38,103,0
39,4,3071,6,11.997658183672497,0,8,0,2,1,13.66959285736084,0,39,38,101,0
10,4,1449,10,8.99304268216647,2,5,2,1,1,0.0,59,42,13,100,0
3,4,11770,11,6.010204452735262,4,12,4,4,0,0.0,0,43,38,0,0
29,4,1437,11,9.007275477904521,0,3,1,4,0,0.0,0,49,38,1,0
41,6,6087,15,8.000482356751037,3,10,1,2,0,0.0,0,39,38,103,0
28,4,6981,9,14.25183965393998,0,10,1,4,1,0.0,0,39,38,1,0
7,4,6895,9,12.006135471432732,2,10,0,4,1,0.0,0,39,38,1,0
33,2,3422,3,2.7522883252367016,0,8,4,4,1,0.0,0,39,38,102,0
14,4,12171,7,10.996451221749638,2,11,0,4,1,0.0,0,39,38,1,0
35,4,4570,11,8.011777246082001,2,3,0,4,1,0.0,43,39,38,100,1
9,4,15195,6,4.144375462905139,0,8,2,4,0,0.0,0,37,38,2,0
11,4,5746,9,12.004709764178633,4,10,1,4,0,0.0,0,39,38,103,0
8,4,6103,15,8.999165387426764,1,0,0,4,1,0.0,0,39,38,101,0
25,6,11720,15,8.999203847170403,2,3,0,2,1,47.23046875,0,39,38,101,0
8,4,8419,13,8.000573513785898,2,7,0,4,1,0.0,0,42,38,1,0
20,2,4987,12,11.00429061628258,2,12,0,4,0,0.0,49,47,38,100,1
40,5,14676,0,3.693982424958288,3,11,0,4,1,0.0,0,39,38,102,0
10,4,7091,10,10.992395963816596,2,12,0,4,1,0.0,54,43,38,100,0
13,2,4948,11,8.001667617070575,2,12,0,4,1,0.0,0,19,38,100,0
37,4,4673,11,8.00154247874463,2,6,0,4,1,0.0,0,39,38,1,0
26,4,5339,12,8.004171830475519,4,13,4,4,0,0.0,0,39,38,0,0
26,6,7099,11,9.000687749151048,4,4,1,3,1,0.0,0,30,38,101,1
20,4,7599,5,4.148624594142276,3,9,0,4,1,0.0,0,43,38,102,0
14,4,7457,10,9.00061846950397,2,11,0,4,0,0.0,0,43,38,0,0
25,2,5227,9,8.004286173177862,2,4,0,4,1,0.0,74,47,38,100,1
11,4,12817,7,11.996047847717534,0,2,5,4,0,0.0,0,39,38,1,0
21,4,13984,6,4.212400829432944,2,6,0,4,1,0.0,0,39,14,2,0
8,4,11947,11,9.998468514949511,3,8,0,4,1,0.0,0,45,38,0,0
21,6,13909,11,7.999044319495866,2,7,0,4,1,0.0,0,39,38,0,0
4,2,957,1,4.138403097065925,3,4,0,4,1,0.0,0,48,38,102,0
7,4,12401,1,7.434256023179632,2,6,3,3,1,0.0,0,39,29,102,0
31,4,7053,10,3.7402082729156443,0,7,1,4,0,0.0,0,41,38,1,0
