age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,cluster,Target
36,1,1,1,1,692.0693359375,1,0,0,11,1,93.42668151855469,2,0,0,3,103,0
37,3,1,1,0,1255.5032958984375,0,0,0,28,1,40.69641876220703,0,0,0,3,102,0
19,4,1,2,1,353.5920715332031,0,0,0,12,2,348.9960632324219,0,0,0,3,103,0
12,9,1,1,0,1047.5435791015625,1,0,1,12,1,115.85015106201172,2,0,0,3,0,0
11,1,1,1,0,788.0118408203125,0,0,0,17,6,106.42972564697266,0,135,3,1,101,0
18,9,2,1,0,1109.3162841796875,0,0,0,26,1,197.43492126464844,0,0,0,3,102,1
10,6,1,1,0,530.0695190429688,0,0,0,6,1,246.77691650390625,2,0,0,3,102,1
41,4,1,1,0,537.632568359375,0,1,0,11,1,60.172855377197266,1,0,0,3,100,0
7,9,1,1,0,527.8169555664062,1,0,2,6,8,251.07632446289062,1,0,0,3,3,0
6,4,1,2,0,53.78980255126953,1,1,2,11,8,221.19522094726562,1,0,0,3,3,0
3,2,0,1,1,652.0878295898438,1,0,0,7,8,290.3123779296875,0,232,2,0,103,1
18,4,1,1,0,1404.675537109375,1,0,0,10,0,165.5954132080078,1,135,9,0,101,0
8,5,1,1,0,3359.978515625,0,0,2,29,6,-5.44451904296875,1,0,0,1,3,0
30,0,1,1,0,812.5927734375,1,0,0,3,7,71.29632568359375,0,175,4,1,101,0
22,1,1,0,0,465.6786804199219,0,0,2,8,8,44.35765075683594,1,0,0,3,3,0
5,5,1,1,0,901.2518920898438,0,0,0,9,3,133.2588348388672,1,273,15,0,101,0
24,2,1,1,1,537.1558837890625,0,0,0,18,1,300.82196044921875,0,0,0,3,103,0
27,3,1,0,1,182.0418701171875,0,0,0,3,1,292.4014892578125,0,0,0,3,103,0
18,1,1,0,0,1225.14794921875,0,0,2,3,6,160.84970092773438,4,0,0,3,100,0
19,9,0,1,0,689.4884033203125,1,0,0,18,5,276.3531799316406,1,0,0,3,0,0
18,1,2,1,0,802.8508911132812,0,0,1,28,8,437.4808349609375,11,0,0,3,100,0
36,4,1,2,0,1827.2454833984375,1,0,2,24,8,182.0091552734375,2,0,0,3,3,0
21,4,1,2,0,441.9228515625,0,1,2,23,6,20.95826530456543,1,0,0,3,100,0
24,0,1,1,0,1163.233154296875,1,1,2,10,8,163.9792938232422,0,0,0,3,3,0
23,0,1,2,0,3501.944091796875,0,0,2,13,6,-4.860651969909668,0,0,0,3,3,0
12,1,2,0,0,955.6715087890625,0,0,0,26,8,27.429546356201172,0,0,0,3,3,0
19,0,1,1,0,566.10205078125,1,0,2,8,6,17.615087509155273,2,0,0,3,3,0
34,6,1,1,0,575.8668212890625,1,0,0,9,7,145.43199157714844,0,194,2,0,101,0
24,9,2,1,0,1427.432861328125,0,0,0,26,1,612.645263671875,1,0,0,3,102,1
36,4,1,1,0,932.9448852539062,0,0,0,6,1,1201.8212890625,2,0,0,3,102,0
13,4,1,2,0,1682.929443359375,0,0,2,24,8,26.92584800720215,4,0,0,3,3,0
16,9,2,2,0,732.4061279296875,1,0,2,26,8,122.15731811523438,7,0,0,3,3,0
23,4,1,0,0,1136.4830322265625,1,0,0,8,8,404.1713562011719,0,0,0,3,3,0
8,4,1,1,0,793.4829711914062,1,0,2,19,6,71.57379913330078,0,0,0,3,3,0
9,2,0,1,0,832.72900390625,1,0,0,3,8,196.32176208496094,0,0,0,3,0,0
57,9,1,1,0,1133.6246337890625,0,0,0,6,10,35.884273529052734,0,11,7,0,101,0
14,6,1,2,0,481.0756530761719,1,0,2,7,6,48.98830795288086,0,0,0,3,3,0
41,1,1,1,0,1066.6876220703125,0,0,0,24,0,633.161865234375,0,0,0,3,102,1
19,1,0,1,0,830.8435668945312,1,0,0,21,7,298.9039306640625,0,0,0,3,0,0
17,4,1,1,0,2170.932861328125,0,0,0,22,2,998.9401245117188,2,0,0,3,102,1
8,4,1,2,0,2021.2537841796875,1,0,0,5,6,287.053955078125,1,0,0,3,3,0
7,8,2,1,0,1026.7830810546875,1,1,0,26,8,158.8203582763672,1,141,4,1,101,0
28,3,2,1,1,210.7295684814453,1,1,0,6,7,115.79984283447266,1,213,12,1,103,0
11,4,2,1,0,1458.5914306640625,1,0,0,12,8,-3.4535717964172363,0,259,2,0,101,0
7,7,1,2,1,146.09646606445312,1,0,2,29,6,363.8936767578125,2,0,0,3,103,0
32,3,2,1,1,74.68849182128906,0,1,0,17,7,215.4753875732422,0,0,0,3,103,0
8,0,1,1,1,636.48876953125,1,0,1,24,7,320.9978332519531,0,0,0,3,103,0
