age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
14,4,10306,11,8.0,4,14,3,2,1,0.0,0,39,38,0
8,4,5359,11,8.0,4,7,4,2,1,0.0,0,39,38,0
9,0,4456,9,12.0,2,0,0,4,1,0.0,55,39,38,0
13,2,887,9,12.0,2,10,0,4,1,0.0,0,39,38,0
22,7,4932,15,9.0,2,11,0,4,1,0.0,0,39,38,0
27,7,6325,11,8.0,0,1,4,4,0,0.0,0,37,38,0
51,4,1813,2,7.0,6,12,1,4,0,0.0,0,29,38,0
18,5,6330,9,12.0,2,12,0,4,1,0.0,0,49,38,0
47,4,10657,11,8.0,2,12,5,4,0,0.0,0,20,38,0
55,2,11702,11,8.0,2,4,0,4,1,29.0,0,9,38,0
11,5,5189,11,8.0,2,3,0,4,1,0.0,0,49,38,0
48,0,11784,5,3.0,2,0,0,4,1,29.0,0,26,38,0
12,4,15051,11,8.0,3,13,3,2,1,0.0,0,39,38,0
21,7,12087,11,8.0,0,8,1,4,1,0.0,0,39,38,0
10,4,14061,11,8.0,4,7,3,4,1,0.0,0,44,38,0
6,5,12669,11,8.0,4,1,1,4,0,0.0,0,39,38,0
10,6,774,11,8.0,4,3,1,4,1,0.0,0,29,38,0
25,6,4541,15,9.0,2,3,0,4,1,0.0,0,39,8,0
3,4,12884,15,9.0,4,12,3,1,0,0.0,0,19,38,0
16,4,12067,9,12.0,4,4,1,4,0,0.0,0,39,38,0
51,0,224,11,8.0,6,0,1,4,0,0.0,0,11,38,0
14,4,4374,6,4.0,4,5,1,4,1,0.0,0,39,32,0
12,4,8583,7,11.0,0,6,1,4,0,0.0,0,39,38,0
6,4,11689,11,8.0,4,7,3,4,0,0.0,0,39,38,0
6,4,561,11,8.0,2,6,0,4,1,0.0,0,39,38,0
27,2,9147,15,9.0,0,10,4,4,0,0.0,0,24,38,0
31,7,201,9,12.0,0,4,4,4,1,0.0,0,39,38,0
51,4,13804,15,9.0,2,1,0,4,1,0.0,0,39,38,0
20,4,11130,11,8.0,2,14,0,4,1,0.0,0,49,38,0
14,4,9492,11,8.0,0,12,4,3,0,0.0,0,39,25,0
14,4,9275,2,7.0,4,12,3,4,1,0.0,0,31,38,0
8,4,9975,1,6.0,2,7,0,4,1,0.0,0,39,38,0
29,6,2009,11,8.0,6,8,2,4,0,0.0,0,39,38,0
41,4,1608,11,8.0,2,4,0,4,1,0.0,0,44,38,0
33,4,4940,0,5.0,0,1,4,4,0,0.0,0,39,38,0
10,4,6601,9,12.0,2,4,0,4,1,0.0,0,39,38,0
15,4,6569,11,8.0,4,1,2,4,0,0.0,0,34,38,0
36,1,7813,11,8.0,0,13,4,4,1,0.0,0,39,38,0
13,4,6395,11,8.0,2,8,2,4,0,0.0,0,39,38,0
14,4,2330,0,5.0,0,7,1,4,1,0.0,0,39,38,0
53,4,7969,1,6.0,2,14,0,4,1,0.0,0,39,38,0
15,4,14299,9,12.0,4,10,1,2,0,0.0,0,39,38,0
5,2,4444,15,9.0,4,4,3,4,0,0.0,0,24,38,0
40,4,6444,8,10.0,0,4,4,4,0,0.0,0,49,38,0
9,4,13683,11,8.0,2,12,0,4,1,42.0,0,39,38,0
19,4,7060,15,9.0,2,7,0,4,1,0.0,0,39,38,0
40,4,4873,3,1.0,3,8,1,4,1,0.0,0,34,0,0
22,4,7315,11,8.0,4,1,1,4,0,0.0,0,39,38,0
14,4,5736,0,5.0,0,8,1,4,1,0.0,0,39,38,0
26,4,13861,15,9.0,0,6,1,2,1,0.0,0,39,38,0
17,4,2031,11,8.0,2,14,0,2,1,0.0,0,39,38,0
