age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target
24,1,1,0,0,2413.0,1,0,2,14,8,260.0,3,0,0,3,0
19,9,1,1,0,2266.0,0,0,2,19,6,165.0,1,0,0,3,0
14,0,1,1,0,1383.0,1,0,0,16,0,774.0,3,0,0,3,0
14,9,2,2,0,739.0,1,0,2,1,6,181.0,4,0,0,3,0
10,0,2,1,0,448.0,1,0,0,17,8,377.0,0,0,0,3,0
23,10,1,1,0,483.0,0,0,0,30,5,793.0,13,0,0,3,0
18,0,2,1,0,2766.0,0,0,2,18,8,101.0,3,0,0,3,0
26,1,1,1,0,718.0,1,0,2,11,8,592.0,0,0,0,3,0
10,1,2,1,0,1681.0,0,0,1,29,4,197.0,1,2,17,1,0
17,1,2,1,0,444.0,1,0,2,1,6,167.0,0,0,0,3,0
32,2,0,2,0,797.0,0,0,0,7,4,247.0,0,84,1,0,0
13,7,1,1,0,483.0,0,1,0,20,9,206.0,0,0,0,3,0
37,5,1,1,0,1818.0,0,1,0,28,5,275.0,1,0,0,3,0
13,2,2,2,0,2136.0,0,0,0,3,3,110.0,2,0,0,3,0
26,9,0,1,0,230.0,1,0,2,6,8,169.0,0,0,0,3,0
18,4,2,2,0,484.0,1,0,0,12,8,129.0,0,0,0,3,0
52,4,1,2,0,3215.0,0,0,0,5,3,144.0,0,0,0,3,0
19,1,0,1,1,77.0,0,0,2,17,6,13.0,0,0,0,3,0
12,9,2,1,0,1253.0,1,0,0,17,8,20.0,1,297,2,0,0
31,3,0,0,0,646.0,1,0,2,8,8,921.0,4,0,0,3,0
17,10,2,1,0,483.0,0,0,0,29,5,715.0,2,0,0,3,0
19,4,2,2,0,2556.0,0,0,0,19,9,108.0,1,0,0,3,0
14,4,1,1,0,1826.0,1,0,0,17,9,109.0,0,0,0,3,0
26,9,0,1,0,483.0,1,0,0,6,5,783.0,3,0,0,3,0
13,9,1,1,0,921.0,0,0,2,3,10,3.0,0,0,0,3,0
20,2,0,2,0,3422.0,0,0,0,7,5,180.0,2,0,0,3,0
35,4,0,2,0,3164.0,0,1,0,16,9,557.0,1,0,0,3,0
12,9,2,2,0,1512.0,0,0,0,13,2,444.0,1,0,0,3,0
12,7,1,1,0,661.0,1,0,2,27,8,62.0,0,0,0,3,0
