AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
3,0,0,0,0,2,7012.0,1,0,0,1,0,10,0,0,0,0,0
0,0,0,0,0,3,3755.0,1,1,0,0,0,9,0,0,0,0,0
0,1,0,0,2,3,112.0,1,1,0,1,2,9,0,0,0,0,0
2,0,0,2,0,2,6772.0,1,0,0,1,0,11,0,3,0,3,0
3,1,0,3,0,2,3749.0,0,0,1,1,0,11,0,7,0,3,0
2,0,0,2,2,3,4434.0,0,1,1,0,0,11,0,0,0,0,0
3,1,0,3,0,2,6797.0,1,0,1,1,0,8,0,6,2,7,0
3,0,0,3,0,2,8619.0,1,0,1,0,2,10,0,4,0,0,0
2,1,0,2,0,2,7188.0,1,1,1,1,0,6,0,4,1,2,0
0,0,0,0,2,2,6134.0,1,1,0,1,0,21,0,0,0,0,0
1,1,0,1,0,0,3096.0,1,1,1,1,0,10,0,0,2,1,0
1,0,0,0,0,2,8826.0,0,0,1,0,0,21,0,0,0,0,0
3,1,0,3,2,2,8930.0,1,1,1,1,2,21,0,10,2,1,0
2,1,0,2,1,1,956.0,1,1,1,1,0,11,0,3,1,1,0
0,1,0,0,1,1,9018.0,0,1,0,0,0,15,0,0,0,0,0
3,1,0,3,0,2,3921.0,1,1,1,1,2,5,0,13,2,3,0
1,0,0,1,2,0,5122.0,1,1,1,0,0,12,1,0,0,0,0
2,1,0,1,0,0,6966.0,1,1,0,0,0,11,0,1,1,0,0
1,1,0,1,1,1,579.0,1,1,1,0,0,13,0,0,0,1,0
1,1,0,1,2,0,5121.0,0,0,0,0,0,15,0,0,0,1,0
2,1,0,2,0,0,4433.0,1,0,1,1,3,5,0,2,0,1,0
3,0,0,3,2,2,8324.0,1,1,1,1,0,8,0,3,1,1,0
0,1,0,0,1,1,55.0,1,1,1,1,0,7,0,0,0,0,0
1,1,0,1,0,3,6915.0,1,1,0,1,0,15,0,3,0,2,0
2,0,0,1,1,0,9018.0,1,1,1,1,0,9,0,2,0,1,0
3,1,0,3,2,2,9018.0,0,0,0,1,0,10,1,6,0,5,0
2,1,0,1,2,2,5783.0,1,1,0,1,3,12,0,1,0,1,0
3,1,0,3,0,2,8382.0,1,1,1,1,0,8,0,5,1,3,0
2,1,0,2,2,2,7621.0,1,0,0,1,0,14,0,4,0,2,0
2,1,0,2,2,2,6037.0,0,0,1,1,2,7,0,10,2,0,0
2,1,0,2,0,0,3956.0,0,1,0,0,0,12,1,3,0,4,0
3,1,0,2,0,2,6923.0,1,0,1,1,0,5,0,7,0,5,0
2,0,0,2,2,2,9018.0,1,0,1,1,3,9,0,3,0,2,0
1,0,1,1,2,3,1833.0,1,1,0,1,2,10,0,1,0,0,0
1,0,1,1,1,3,4008.0,0,1,0,1,0,12,0,1,0,0,0
2,1,0,2,2,2,7608.0,1,1,1,0,0,12,0,3,0,2,0
3,1,0,2,2,2,5155.0,0,0,1,1,2,5,0,9,0,1,0
1,0,0,1,0,0,9018.0,1,0,1,0,0,13,0,0,0,0,0
2,0,0,2,2,0,1741.0,0,0,0,1,2,10,0,2,0,1,0
2,0,0,2,2,0,5594.0,1,0,1,1,0,21,0,0,0,0,0
1,1,0,1,2,3,5082.0,1,1,0,0,0,14,0,0,1,0,0
2,1,0,2,0,3,2910.0,0,1,1,1,0,10,0,3,0,1,0
1,1,0,1,2,2,9018.0,1,1,1,1,0,6,0,2,0,1,0
2,0,0,2,0,2,4722.0,1,1,1,1,3,5,0,2,0,0,0
2,0,1,2,0,1,2946.0,1,1,1,1,0,21,0,1,0,1,0
2,0,0,0,2,2,6657.0,1,1,0,0,0,21,0,0,0,0,0
2,0,1,1,0,3,4662.0,1,1,1,1,0,9,0,0,0,0,0
3,1,0,2,2,2,8078.0,1,1,1,1,2,3,0,4,1,4,0
3,1,0,1,2,2,8197.0,1,1,1,1,0,8,0,2,0,0,0
2,1,0,2,0,3,9018.0,1,1,0,0,0,10,0,5,0,7,0
1,0,1,1,1,3,9018.0,1,1,0,1,0,7,0,2,0,0,0
0,1,0,0,0,0,4118.0,1,1,0,1,0,14,0,0,0,0,0
1,0,0,0,2,2,8829.0,1,1,1,1,0,10,0,0,0,0,0
2,0,0,0,2,0,3418.0,1,0,1,1,0,12,0,0,0,0,0
2,0,0,2,2,2,8007.0,1,1,1,1,0,8,0,0,0,1,0
2,1,0,0,2,2,3194.0,1,0,0,0,0,14,0,0,0,0,0
2,0,0,1,2,2,7655.0,1,0,1,1,0,12,0,0,0,0,0
2,1,0,2,2,2,7726.0,0,1,0,1,0,12,0,2,0,1,0
0,0,0,0,0,0,5359.0,1,1,0,1,0,9,0,0,0,0,0
1,0,0,1,2,2,8724.0,0,0,0,0,2,7,0,0,0,0,0
1,1,0,1,2,0,4657.0,1,1,1,1,0,11,0,1,0,2,0
1,0,0,1,0,0,4539.0,1,0,0,1,0,12,0,0,0,0,0
2,1,0,2,0,3,1738.0,0,1,0,1,0,14,0,0,0,6,0
