gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,142.0,2505.0,0
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,498.0,1466.0,0
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,266.0,1400.0,0
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,1075.0,1550.0,0
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,140.0,2609.0,0
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,482.0,3022.0,0
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,375.0,4823.0,0
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,8.0,2836.0,0
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,1288.0,4693.0,0
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,1385.0,2337.0,0
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,1519.0,5959.0,0
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,42.0,46.0,0
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,1409.0,5704.0,0
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,1094.0,1433.0,0
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,25.0,1651.0,0
0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,541.0,3041.0,0
1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,535.0,2567.0,0
0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,465.0,959.0,0
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,1098.0,5135.0,0
0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,1215.0,5354.0,0
1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,1198.0,1360.0,0
0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,650.0,1449.0,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,33.0,1610.0,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,310.0,3815.0,0
0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,1279.0,5644.0,0
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,803.0,3073.0,0
1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,367.0,4024.0,0
0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,699.0,4118.0,0
