Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0.0,0,0.0,1,0.0,1871.0,4776.0,0.0,0,2,0,0,0,0,2,0,0
0,0.0,0,0.0,2,272.0,0.0,4673.0,0.0,0,2,1,1,0,1,2,0,0
0,0.0,0,0.0,1,0.0,1871.0,4776.0,0.0,0,2,3,0,8,2,2,0,0
0,0.0,0,0.0,2,4.0,1725.0,4744.0,0.0,0,2,2,1,1,3,2,0,0
0,0.0,0,0.0,10,3674.0,1391.0,4164.0,0.0,0,2,2,2,0,3,2,1,0
0,0.0,0,0.0,19,862.0,1253.0,2714.0,0.0,0,2,1,1,0,2,2,0,0
0,0.0,0,0.0,1,0.0,1871.0,4776.0,0.0,2,2,1,3,2,2,2,0,0
1,0.0,0,0.0,0,0.0,1871.0,4776.0,0.0,0,2,0,1,0,4,2,1,0
0,0.0,0,0.0,2,124.0,0.0,4673.0,0.0,4,2,1,1,1,2,2,0,0
0,0.0,0,0.0,3,4197.0,0.0,2443.0,0.0,2,2,1,3,0,1,2,0,0
0,0.0,0,0.0,3,2432.0,0.0,4453.0,0.0,0,2,0,0,2,2,2,0,0
0,0.0,0,0.0,16,2498.0,1352.0,2852.0,0.0,2,2,0,0,3,2,2,0,0
0,0.0,0,0.0,7,1717.0,0.0,3101.0,0.0,0,2,0,0,0,2,2,0,0
0,0.0,0,0.0,6,478.0,0.0,4453.0,0.0,0,2,1,4,0,2,2,0,0
0,0.0,0,0.0,2,300.0,0.0,4673.0,0.0,0,2,2,1,2,2,2,0,0
2,490.0,0,0.0,23,6897.0,841.0,1639.0,0.0,0,2,0,0,8,2,2,0,0
0,0.0,0,0.0,1,0.0,1871.0,4776.0,0.0,0,2,0,0,3,2,2,0,0
0,0.0,0,0.0,13,2063.0,0.0,492.0,0.0,0,2,0,0,0,3,2,1,0
0,0.0,0,0.0,2,94.0,0.0,4673.0,0.0,0,2,1,1,0,2,2,0,0
0,0.0,0,0.0,20,8367.0,0.0,755.0,0.0,0,2,1,3,3,3,2,0,0
0,0.0,0,0.0,8,736.0,0.0,559.0,0.0,5,2,1,1,4,0,2,1,0
0,0.0,0,0.0,2,0.0,1871.0,4776.0,0.0,0,2,2,2,0,2,2,0,0
0,0.0,0,0.0,3,526.0,0.0,3473.0,0.0,0,2,2,1,0,4,2,0,0
0,0.0,0,0.0,2,28.0,0.0,4673.0,0.0,4,2,1,3,0,2,2,0,0
0,0.0,0,0.0,1,0.0,1871.0,4776.0,0.0,0,2,1,1,3,0,2,1,0
0,0.0,0,0.0,5,874.0,0.0,3837.0,0.0,0,2,0,0,8,2,2,0,0
4,631.0,0,0.0,32,5606.0,318.0,697.0,0.0,0,2,1,1,0,2,2,0,0
0,0.0,0,0.0,4,354.0,1725.0,4673.0,0.0,0,2,0,0,0,2,2,0,0
0,0.0,0,0.0,4,267.0,0.0,4164.0,0.0,1,2,1,5,0,2,2,0,0
1,13.0,1,0.0,45,6734.0,1690.0,4178.0,2360.0,2,2,2,1,0,0,2,0,0
0,0.0,0,0.0,2,108.0,0.0,4673.0,0.0,0,2,0,0,5,2,2,0,0
0,0.0,0,0.0,3,362.0,0.0,4453.0,0.0,0,2,0,1,5,5,2,1,0
0,0.0,0,0.0,8,1243.0,0.0,2758.0,0.0,0,2,1,1,0,0,2,0,0
0,0.0,0,0.0,10,1067.0,1667.0,4574.0,0.0,0,2,0,0,2,0,2,0,0
0,0.0,0,0.0,14,2344.0,1189.0,3101.0,0.0,0,2,1,1,0,0,2,0,0
0,0.0,0,0.0,52,7556.0,1230.0,2202.0,0.0,0,2,1,1,6,0,2,0,0
0,0.0,0,0.0,8,2396.0,1492.0,4305.0,0.0,0,2,2,1,0,3,2,1,0
2,96.0,0,0.0,5,1829.0,0.0,3101.0,0.0,4,2,1,1,7,3,2,0,0
0,0.0,0,0.0,7,267.0,1545.0,4508.0,0.0,3,2,1,1,0,2,2,0,0
