iter	Passed	Remaining
0	2	2276
1	4	2061
2	6	1995
3	7	1964
4	10	2104
5	12	2057
6	14	2023
7	16	1986
8	18	2060
9	20	2074
10	22	2048
11	24	2018
12	26	1998
13	29	2070
14	31	2049
15	33	2032
16	34	2018
17	36	2013
18	38	2002
19	40	1987
20	42	1972
21	44	1970
22	45	1953
23	47	1939
24	49	1923
25	51	1911
26	52	1903
27	54	1891
28	56	1882
29	57	1871
30	59	1864
31	61	1858
32	63	1850
33	65	1848
34	66	1843
35	68	1837
36	70	1832
37	72	1826
38	73	1821
39	75	1817
40	77	1809
41	79	1804
42	80	1797
43	82	1793
44	84	1789
45	86	1784
46	87	1781
47	89	1777
48	91	1772
49	93	1771
50	97	1812
51	100	1832
52	105	1893
53	110	1939
54	115	1986
55	119	2018
56	124	2053
57	128	2094
58	133	2128
59	137	2159
60	144	2217
61	147	2229
62	152	2269
63	158	2322
64	162	2339
65	168	2378
66	172	2399
67	177	2427
68	181	2451
69	185	2467
70	187	2459
71	190	2454
72	192	2447
73	195	2441
74	197	2430
75	199	2425
76	201	2418
77	204	2418
78	206	2405
79	209	2406
80	211	2396
81	213	2388
82	215	2381
83	217	2369
84	219	2364
85	221	2353
86	223	2348
87	225	2336
88	227	2324
89	228	2312
90	230	2301
91	232	2297
92	235	2299
93	241	2323
94	243	2320
95	249	2353
96	253	2355
97	257	2372
98	262	2386
99	267	2403
100	271	2418
101	276	2433
102	282	2456
103	286	2471
104	291	2482
105	295	2492
106	300	2503
107	304	2515
108	309	2527
109	313	2538
110	318	2549
111	324	2569
112	328	2578
113	331	2573
114	335	2585
115	340	2591
116	344	2602
117	349	2609
118	353	2617
119	358	2626
120	362	2633
121	366	2641
122	371	2647
123	375	2654
124	380	2660
125	384	2667
126	389	2674
127	393	2680
128	397	2686
129	402	2693
130	408	2710
131	411	2708
132	416	2716
133	421	2722
134	425	2727
135	430	2732
136	434	2736
137	438	2741
138	443	2745
139	447	2750
140	452	2753
141	456	2758
142	460	2761
143	465	2765
144	469	2768
145	473	2771
146	478	2775
147	482	2779
148	487	2782
149	493	2795
150	496	2792
151	500	2790
152	504	2794
153	508	2794
154	518	2829
155	524	2837
156	532	2860
157	554	2954
158	566	2995
159	578	3036
160	582	3036
161	587	3038
162	597	3068
163	607	3098
164	618	3128
165	628	3157
166	635	3169
167	638	3162
168	643	3164
169	648	3164
170	652	3165
171	657	3164
172	662	3165
173	666	3165
174	671	3165
175	676	3168
176	680	3165
177	685	3165
178	689	3164
179	694	3166
180	699	3166
181	704	3165
182	709	3165
183	713	3165
184	718	3164
185	725	3172
186	728	3167
187	739	3192
188	743	3191
189	749	3193
190	756	3203
191	762	3208
192	765	3199
193	767	3190
194	770	3181
195	775	3181
196	786	3206
197	791	3204
198	796	3204
199	801	3206
200	806	3205
201	814	3219
202	819	3218
203	824	3218
204	829	3216
205	834	3215
206	849	3253
207	852	3244
208	857	3244
209	861	3239
210	866	3238
211	873	3246
212	878	3245
213	882	3242
214	887	3241
215	894	3246
216	897	3238
217	902	3237
218	909	3243
219	914	3242
220	917	3235
221	922	3233
222	927	3232
223	932	3229
224	936	3227
225	943	3231
226	946	3223
227	951	3222
228	955	3215
229	959	3213
230	964	3210
231	969	3208
232	973	3205
233	978	3201
234	982	3198
235	986	3195
236	991	3191
237	995	3187
238	999	3184
239	1004	3180
240	1008	3177
241	1013	3174
242	1017	3170
243	1022	3167
244	1026	3164
245	1031	3161
246	1035	3158
247	1040	3154
248	1045	3151
249	1049	3149
250	1054	3146
251	1058	3143
252	1063	3140
253	1068	3136
254	1072	3133
255	1076	3129
256	1081	3126
257	1085	3122
258	1090	3118
259	1094	3114
260	1098	3111
261	1103	3108
262	1107	3104
263	1112	3101
264	1117	3098
265	1121	3094
266	1125	3090
267	1130	3087
268	1134	3083
269	1139	3081
270	1144	3077
271	1148	3073
272	1153	3070
273	1157	3067
274	1162	3063
275	1166	3060
276	1171	3056
277	1175	3052
278	1179	3049
279	1184	3045
280	1188	3042
281	1193	3039
282	1198	3036
283	1212	3057
284	1220	3061
285	1225	3058
286	1232	3062
287	1239	3064
288	1251	3079
289	1255	3074
290	1259	3069
291	1262	3061
292	1265	3052
293	1272	3054
294	1274	3046
295	1277	3038
296	1280	3030
297	1282	3020
298	1288	3020
299	1290	3012
300	1295	3009
301	1298	3000
302	1305	3002
303	1308	2994
304	1319	3007
305	1332	3021
306	1334	3013
307	1338	3006
308	1341	2999
309	1344	2991
310	1346	2983
311	1349	2976
312	1352	2968
313	1356	2964
314	1369	2977
315	1376	2979
316	1381	2976
317	1385	2971
318	1388	2963
319	1391	2957
320	1397	2955
321	1401	2950
322	1405	2945
323	1410	2942
324	1416	2941
325	1422	2941
326	1426	2936
327	1430	2930
328	1433	2924
329	1440	2925
330	1445	2922
331	1451	2921
332	1455	2916
333	1459	2910
334	1464	2906
335	1468	2902
336	1473	2899
337	1477	2894
338	1482	2890
339	1486	2885
340	1492	2885
341	1495	2877
342	1501	2875
343	1507	2874
344	1510	2868
345	1515	2864
346	1519	2860
347	1524	2855
348	1528	2851
349	1533	2847
350	1537	2842
351	1542	2838
352	1546	2834
353	1551	2830
354	1555	2826
355	1559	2821
356	1564	2817
357	1568	2813
358	1571	2805
359	1574	2799
