iter	Passed	Remaining
0	37	37136
1	62	31236
2	89	29587
3	117	29217
4	143	28558
5	169	28147
6	196	27840
7	223	27725
8	249	27441
9	275	27225
10	301	27105
11	327	26995
12	354	26887
13	380	26828
14	407	26740
15	433	26636
16	459	26577
17	486	26521
18	512	26476
19	539	26435
20	565	26385
21	592	26354
22	623	26472
23	649	26429
24	675	26359
25	701	26289
26	728	26235
27	755	26238
28	783	26244
29	809	26179
30	835	26117
31	862	26085
32	888	26023
33	916	26038
34	943	26012
35	970	25976
36	1007	26234
37	1034	26197
38	1060	26140
39	1089	26139
40	1115	26084
41	1141	26041
42	1168	26016
43	1196	26001
44	1224	25976
45	1249	25921
46	1276	25881
47	1302	25842
48	1329	25799
49	1355	25762
50	1381	25713
51	1407	25657
52	1434	25632
53	1461	25603
54	1487	25559
55	1513	25517
56	1540	25484
57	1567	25462
58	1594	25428
59	1623	25434
60	1650	25400
61	1678	25397
62	1705	25359
63	1732	25333
64	1758	25291
65	1786	25275
66	1813	25258
67	1840	25227
68	1868	25207
69	1897	25207
70	1923	25174
71	1949	25128
72	1977	25110
73	2011	25173
74	2038	25138
75	2067	25134
76	2094	25108
77	2121	25071
78	2147	25037
79	2175	25020
80	2202	24988
81	2228	24947
82	2254	24911
83	2281	24880
84	2308	24847
85	2334	24812
86	2360	24770
87	2386	24737
88	2413	24709
89	2440	24671
90	2466	24641
91	2492	24604
92	2519	24576
93	2546	24548
94	2572	24510
95	2600	24488
96	2628	24470
97	2655	24443
98	2681	24408
99	2707	24370
100	2733	24330
101	2760	24300
102	2787	24275
103	2815	24252
104	2844	24244
105	2873	24235
106	2900	24206
107	2926	24171
108	2953	24141
109	2979	24106
110	3012	24130
111	3040	24110
112	3066	24070
113	3092	24035
114	3119	24004
115	3145	23974
116	3172	23943
117	3199	23915
118	3226	23887
119	3253	23856
120	3279	23823
121	3306	23796
122	3333	23765
123	3361	23744
124	3387	23715
125	3414	23683
126	3441	23655
127	3467	23622
128	3494	23591
129	3520	23557
130	3547	23529
131	3574	23504
132	3600	23473
133	3627	23444
134	3654	23415
135	3682	23394
136	3710	23371
137	3736	23341
138	3763	23309
139	3789	23277
140	3816	23249
141	3844	23230
142	3871	23201
143	3897	23166
144	3923	23134
145	3949	23099
146	3980	23099
147	4013	23106
148	4039	23071
149	4066	23043
150	4092	23011
151	4120	22988
152	4147	22960
153	4173	22928
154	4200	22898
155	4226	22865
156	4253	22836
157	4279	22808
158	4305	22775
159	4333	22748
160	4359	22717
161	4387	22695
162	4414	22666
163	4440	22635
164	4467	22609
165	4493	22575
166	4519	22542
167	4549	22530
168	4575	22498
169	4602	22472
170	4629	22441
171	4655	22411
172	4681	22377
173	4706	22343
174	4732	22308
175	4757	22274
176	4784	22248
177	4811	22219
178	4841	22205
179	4881	22235
180	4936	22336
181	4996	22456
182	5034	22477
183	5084	22547
184	5136	22629
185	5189	22709
186	5245	22803
187	5299	22887
188	5352	22968
189	5408	23056
190	5470	23169
191	5530	23274
192	5588	23365
193	5646	23457
194	5698	23525
195	5756	23612
196	5810	23684
197	5864	23755
198	5919	23825
199	5976	23907
200	6038	24003
201	6100	24099
202	6153	24157
203	6205	24213
204	6259	24274
205	6311	24327
206	6366	24387
207	6420	24447
208	6477	24515
209	6539	24600
210	6595	24661
211	6658	24749
212	6714	24808
213	6768	24859
214	6822	24909
215	6878	24965
216	6934	25023
217	6988	25070
218	7055	25160
219	7109	25206
220	7165	25256
221	7225	25320
222	7279	25365
223	7335	25412
224	7389	25453
225	7445	25497
226	7497	25531
227	7561	25604
228	7615	25640
229	7675	25697
230	7731	25738
231	7785	25774
232	7843	25819
233	7900	25861
234	7957	25904
235	8008	25926
236	8073	25993
237	8126	26019
238	8175	26032
239	8233	26073
240	8283	26087
241	8341	26128
242	8396	26158
243	8450	26181
244	8503	26206
245	8558	26230
246	8614	26262
247	8670	26289
248	8726	26318
249	8783	26349
250	8823	26328
251	8864	26311
252	8891	26251
253	8918	26194
254	8945	26135
255	8972	26077
256	8998	26015
257	9026	25959
258	9054	25903
259	9089	25869
260	9116	25812
261	9142	25752
262	9169	25694
263	9196	25638
264	9223	25583
265	9249	25523
266	9276	25466
267	9304	25414
268	9331	25357
269	9357	25299
270	9383	25240
271	9410	25186
272	9436	25130
273	9463	25074
274	9489	25017
275	9515	24961
276	9542	24907
277	9568	24849
278	9596	24798
279	9625	24750
280	9651	24694
281	9678	24641
282	9704	24587
283	9731	24534
284	9760	24486
285	9786	24432
286	9812	24378
287	9839	24325
288	9865	24270
289	9891	24216
290	9918	24165
291	9945	24113
292	9971	24060
293	9997	24008
294	10024	23957
295	10051	23907
296	10081	23863
297	10116	23830
298	10141	23777
299	10168	23725
300	10195	23676
301	10222	23625
302	10247	23573
303	10275	23525
304	10301	23473
305	10328	23425
306	10355	23375
307	10382	23325
308	10407	23274
309	10434	23225
310	10465	23185
311	10492	23136
312	10520	23091
313	10547	23044
314	10574	22995
315	10600	22944
316	10626	22895
317	10652	22845
318	10679	22798
319	10705	22748
320	10731	22700
321	10760	22656
322	10785	22606
323	10811	22557
324	10837	22507
325	10863	22459
326	10890	22413
327	10917	22366
328	10942	22318
329	10969	22270
330	10997	22227
331	11024	22181
332	11050	22134
333	11088	22110
334	11114	22063
335	11142	22020
336	11168	21973
337	11194	21925
338	11220	21878
339	11247	21834
340	11273	21787
341	11300	21742
342	11326	21695
343	11353	21650
344	11380	21607
345	11407	21562
346	11434	21518
347	11461	21473
348	11487	21427
349	11513	21382
350	11540	21338
351	11566	21293
352	11593	21248
353	11619	21203
354	11647	21161
355	11675	21120
356	11701	21076
357	11730	21036
358	11757	20993
359	11784	20950
360	11810	20905
361	11838	20864
362	11864	20820
363	11891	20777
364	11917	20733
365	11943	20689
366	11969	20645
367	11996	20602
368	12021	20557
369	12046	20512
370	12080	20481
371	12107	20439
372	12134	20397
373	12160	20354
374	12185	20309
375	12211	20266
376	12236	20221
377	12262	20178
378	12289	20137
379	12315	20093
380	12341	20050
381	12367	20007
382	12394	19966
383	12420	19925
384	12447	19883
385	12474	19842
386	12503	19804
387	12530	19765
388	12559	19727
389	12587	19687
390	12613	19646
391	12640	19605
392	12667	19564
393	12695	19526
394	12721	19485
395	12748	19444
396	12776	19405
397	12803	19365
398	12831	19327
399	12857	19286
400	12883	19245
401	12910	19205
402	12937	19165
403	12965	19128
404	12991	19086
405	13017	19045
406	13043	19004
407	13082	18981
408	13107	18940
409	13134	18900
410	13159	18859
411	13186	18819
412	13213	18780
413	13239	18740
414	13265	18699
415	13291	18659
416	13317	18618
417	13342	18578
418	13371	18540
419	13399	18503
420	13427	18466
421	13453	18426
422	13479	18387
423	13504	18346
424	13530	18305
425	13556	18265
426	13581	18225
427	13608	18187
428	13634	18147
429	13660	18107
430	13688	18071
431	13715	18033
432	13741	17993
433	13767	17954
434	13795	17918
435	13821	17879
436	13847	17840
437	13874	17801
438	13900	17763
439	13927	17725
440	13954	17687
441	13980	17649
442	14008	17613
443	14034	17574
444	14062	17538
445	14097	17511
446	14124	17473
447	14150	17435
448	14176	17397
449	14203	17359
450	14229	17321
451	14255	17283
452	14281	17245
453	14310	17210
454	14337	17173
455	14364	17136
456	14391	17099
457	14417	17061
458	14444	17025
459	14471	16988
460	14498	16951
461	14524	16914
462	14551	16877
463	14579	16842
464	14607	16806
465	14633	16768
466	14660	16732
467	14686	16694
468	14712	16657
469	14738	16619
470	14765	16584
471	14792	16547
472	14817	16509
473	14844	16472
474	14870	16435
475	14897	16399
476	14925	16364
477	14951	16327
478	14977	16290
479	15003	16253
480	15029	16217
481	15054	16179
482	15092	16154
483	15119	16118
484	15145	16082
485	15172	16046
486	15198	16010
487	15224	15973
488	15250	15936
489	15277	15900
490	15302	15863
491	15332	15830
492	15360	15796
493	15386	15760
494	15412	15724
495	15440	15689
496	15468	15655
497	15496	15620
498	15522	15584
499	15548	15548
500	15577	15514
501	15603	15479
502	15630	15443
503	15658	15410
504	15685	15374
505	15711	15338
506	15737	15302
507	15766	15269
508	15792	15234
509	15819	15199
510	15846	15164
511	15871	15127
512	15899	15093
513	15925	15058
514	15952	15023
515	15979	14988
516	16005	14952
517	16031	14917
518	16058	14883
519	16096	14858
520	16124	14824
521	16154	14793
522	16184	14761
523	16210	14726
524	16236	14690
525	16262	14654
526	16287	14618
527	16315	14584
528	16342	14550
529	16372	14519
530	16398	14483
531	16423	14447
532	16451	14414
533	16477	14379
534	16504	14344
535	16530	14309
536	16556	14274
537	16582	14240
538	16608	14204
539	16637	14172
540	16663	14137
541	16690	14103
542	16716	14069
543	16746	14037
544	16772	14002
545	16800	13969
546	16827	13935
547	16852	13900
548	16879	13866
549	16907	13833
550	16933	13798
551	16959	13764
552	16985	13729
553	17011	13695
554	17037	13660
555	17063	13626
556	17102	13601
557	17128	13568
558	17155	13534
559	17181	13499
560	17206	13464
561	17233	13431
562	17260	13397
563	17287	13363
564	17313	13329
565	17339	13295
566	17364	13261
567	17391	13227
568	17417	13193
569	17442	13158
570	17469	13125
571	17495	13090
572	17523	13058
573	17552	13026
574	17586	12998
575	17615	12966
576	17640	12932
577	17667	12899
578	17694	12866
579	17724	12834
580	17750	12801
581	17777	12768
582	17805	12735
583	17832	12702
584	17860	12670
585	17888	12637
586	17915	12604
587	17942	12571
588	17969	12539
589	17996	12506
590	18022	12472
591	18049	12439
592	18082	12410
593	18115	12382
594	18142	12349
595	18169	12316
596	18195	12283
597	18221	12249
598	18248	12216
599	18274	12183
600	18301	12150
601	18328	12117
602	18354	12083
603	18381	12051
604	18408	12018
605	18435	11986
606	18461	11952
607	18488	11920
608	18515	11887
609	18543	11855
610	18569	11822
611	18598	11790
612	18623	11757
613	18675	11740
614	18736	11729
615	18792	11714
616	18849	11700
617	18896	11680
618	18951	11664
619	19012	11652
620	19069	11638
621	19129	11625
622	19180	11606
623	19238	11592
624	19292	11575
625	19347	11558
626	19400	11541
627	19458	11526
628	19514	11510
629	19569	11493
630	19626	11477
631	19682	11460
632	19740	11445
633	19791	11425
634	19847	11408
635	19899	11388
636	19955	11371
637	20014	11355
638	20064	11335
639	20121	11318
640	20181	11302
641	20235	11283
642	20290	11265
643	20340	11244
644	20398	11226
645	20453	11208
646	20506	11188
647	20554	11165
648	20610	11147
649	20667	11128
650	20725	11110
651	20782	11092
652	20835	11071
653	20889	11051
654	20942	11030
655	20998	11011
656	21053	10991
657	21112	10973
658	21173	10956
659	21235	10939
660	21294	10921
661	21348	10899
662	21398	10876
663	21456	10857
664	21497	10829
665	21554	10809
666	21610	10789
667	21665	10768
668	21721	10747
669	21775	10725
670	21828	10702
671	21878	10678
672	21934	10657
673	21986	10634
674	22040	10611
675	22094	10589
676	22153	10569
677	22208	10547
678	22263	10524
679	22320	10503
680	22380	10483
681	22439	10463
682	22492	10439
683	22554	10419
684	22603	10394
685	22650	10367
686	22678	10332
687	22705	10296
688	22732	10261
689	22758	10224
690	22785	10189
691	22810	10152
692	22837	10117
693	22863	10081
694	22888	10044
695	22914	10008
696	22940	9972
697	22967	9937
698	22994	9901
699	23021	9866
700	23048	9830
701	23076	9795
702	23102	9760
703	23128	9724
704	23157	9690
705	23185	9655
706	23218	9622
707	23249	9588
708	23276	9553
709	23303	9518
710	23329	9482
711	23355	9447
712	23381	9411
713	23407	9376
714	23433	9340
715	23458	9304
716	23485	9269
717	23511	9234
718	23540	9199
719	23566	9164
720	23594	9130
721	23621	9095
722	23647	9060
723	23673	9024
724	23700	8989
725	23726	8954
726	23753	8919
727	23780	8884
728	23806	8849
729	23834	8815
730	23860	8780
731	23886	8745
732	23912	8710
733	23937	8675
734	23963	8640
735	23991	8605
736	24018	8570
737	24044	8535
738	24069	8500
739	24095	8465
740	24121	8431
741	24149	8396
742	24175	8362
743	24201	8327
744	24238	8296
745	24265	8262
746	24293	8227
747	24321	8194
748	24348	8159
749	24377	8125
750	24402	8090
751	24429	8056
752	24455	8022
753	24482	7987
754	24512	7954
755	24538	7919
756	24565	7885
757	24594	7852
758	24621	7818
759	24647	7783
760	24674	7749
761	24701	7715
762	24726	7680
763	24754	7646
764	24781	7612
765	24808	7578
766	24837	7545
767	24863	7510
768	24889	7476
769	24917	7442
770	24942	7408
771	24969	7374
772	24995	7340
773	25022	7306
774	25048	7272
775	25075	7238
776	25102	7204
777	25132	7171
778	25159	7137
779	25186	7103
780	25219	7071
781	25253	7040
782	25279	7005
783	25306	6972
784	25333	6938
785	25360	6904
786	25387	6870
787	25412	6836
788	25438	6802
789	25464	6769
790	25492	6735
791	25519	6702
792	25548	6668
793	25574	6635
794	25600	6601
795	25626	6567
796	25654	6534
797	25680	6500
798	25707	6467
799	25735	6433
800	25761	6400
801	25788	6366
802	25814	6333
803	25840	6299
804	25867	6266
805	25894	6232
806	25921	6199
807	25949	6166
808	25976	6132
809	26003	6099
810	26028	6065
811	26055	6032
812	26083	5999
813	26112	5966
814	26140	5933
815	26166	5900
816	26193	5867
817	26234	5836
818	26259	5803
819	26286	5770
820	26313	5737
821	26341	5704
822	26368	5670
823	26395	5637
824	26423	5604
825	26449	5571
826	26479	5539
827	26506	5506
828	26534	5473
829	26559	5439
830	26585	5406
831	26612	5373
832	26640	5340
833	26666	5307
834	26693	5274
835	26720	5241
836	26746	5208
837	26772	5175
838	26799	5142
839	26825	5109
840	26852	5076
841	26878	5043
842	26904	5010
843	26932	4977
844	26958	4945
845	26985	4912
846	27013	4879
847	27039	4846
848	27066	4813
849	27092	4780
850	27118	4748
851	27144	4715
852	27170	4682
853	27198	4649
854	27236	4619
855	27263	4586
856	27290	4553
857	27318	4521
858	27345	4488
859	27371	4455
860	27398	4423
861	27423	4390
862	27449	4357
863	27479	4325
864	27506	4292
865	27533	4260
866	27560	4227
867	27586	4195
868	27626	4164
869	27657	4132
870	27683	4100
871	27709	4067
872	27736	4034
873	27761	4002
874	27788	3969
875	27815	3937
876	27842	3904
877	27868	3872
878	27895	3839
879	27921	3807
880	27948	3775
881	27975	3742
882	28002	3710
883	28028	3677
884	28055	3645
885	28081	3613
886	28108	3580
887	28134	3548
888	28161	3516
889	28188	3484
890	28219	3452
891	28252	3420
892	28279	3388
893	28307	3356
894	28333	3324
895	28360	3291
896	28386	3259
897	28413	3227
898	28441	3195
899	28468	3163
900	28497	3131
901	28523	3099
902	28550	3066
903	28577	3034
904	28603	3002
905	28629	2970
906	28656	2938
907	28682	2906
908	28709	2874
909	28735	2842
910	28761	2809
911	28787	2777
912	28815	2745
913	28841	2713
914	28866	2681
915	28893	2649
916	28919	2617
917	28945	2585
918	28972	2553
919	28998	2521
920	29027	2489
921	29055	2458
922	29082	2426
923	29110	2394
924	29137	2362
925	29162	2330
926	29189	2298
927	29217	2266
928	29253	2235
929	29280	2203
930	29306	2172
931	29333	2140
932	29358	2108
933	29385	2076
934	29412	2044
935	29441	2013
936	29469	1981
937	29496	1949
938	29522	1917
939	29549	1886
940	29575	1854
941	29602	1822
942	29628	1790
943	29655	1759
944	29681	1727
945	29707	1695
946	29734	1664
947	29760	1632
948	29786	1600
949	29812	1569
950	29838	1537
951	29864	1505
952	29891	1474
953	29917	1442
954	29942	1410
955	29969	1379
956	29997	1347
957	30028	1316
958	30055	1284
959	30081	1253
960	30108	1221
961	30135	1190
962	30162	1158
963	30189	1127
964	30220	1096
965	30256	1064
966	30281	1033
967	30308	1001
968	30335	970
969	30361	939
970	30389	907
971	30417	876
972	30444	844
973	30470	813
974	30496	781
975	30523	750
976	30549	719
977	30575	687
978	30601	656
979	30629	625
980	30657	593
981	30684	562
982	30712	531
983	30739	499
984	30766	468
985	30793	437
986	30819	405
987	30846	374
988	30872	343
989	30899	312
990	30925	280
991	30953	249
992	30980	218
993	31006	187
994	31033	155
995	31061	124
996	31089	93
997	31116	62
998	31145	31
999	31172	0
