age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
14,4,19108,11,8.0,4,14,3,2,1,0,0,39,39,0
8,4,10088,11,8.0,4,7,4,2,1,0,0,39,39,0
19,6,25619,10,15.0,4,10,1,4,1,0,0,29,0,1
9,0,8390,9,12.0,2,0,0,4,1,0,58,39,39,0
13,2,1615,9,12.0,2,10,0,4,1,0,0,39,39,0
22,7,9276,15,9.0,2,11,0,4,1,0,0,39,39,0
27,7,11829,11,8.0,0,1,4,4,0,0,0,37,39,0
51,4,3370,2,7.0,6,12,1,4,0,0,0,29,39,0
18,5,11836,9,12.0,2,12,0,4,1,0,0,49,39,0
47,4,19758,11,8.0,2,12,5,4,0,0,0,20,39,0
55,2,21743,11,8.0,2,4,0,4,1,31,0,9,39,0
25,4,5018,11,8.0,2,14,0,4,1,0,0,59,39,1
11,5,9759,11,8.0,2,3,0,4,1,0,0,49,39,0
48,0,21928,5,3.0,2,0,0,4,1,31,0,26,39,0
12,4,28518,11,8.0,3,13,3,2,1,0,0,39,39,0
21,7,22534,11,8.0,0,8,1,4,1,0,0,39,39,0
10,4,26406,11,8.0,4,7,3,4,1,0,0,44,39,0
28,7,15274,14,14.0,0,10,4,2,1,118,0,35,39,1
6,5,23674,11,8.0,4,1,1,4,0,0,0,39,39,0
10,6,1417,11,8.0,4,3,1,4,1,0,0,29,39,0
25,6,8561,15,9.0,2,3,0,4,1,0,0,39,8,0
3,4,24090,15,9.0,4,12,3,1,0,0,0,19,39,0
30,4,23315,9,12.0,2,4,5,4,0,0,0,39,39,1
16,4,22498,9,12.0,4,4,1,4,0,0,0,39,39,0
15,7,6284,14,14.0,2,10,0,4,1,0,0,73,39,1
51,0,421,11,8.0,6,0,1,4,0,0,0,11,39,0
14,4,8221,6,4.0,4,5,1,4,1,0,0,39,33,0
12,4,15995,7,11.0,0,6,1,4,0,0,0,39,39,0
6,4,21722,11,8.0,4,7,3,4,0,0,0,39,39,0
6,4,1041,11,8.0,2,6,0,4,1,0,0,39,39,0
27,2,16981,15,9.0,0,10,4,4,0,0,0,24,39,0
31,7,368,9,12.0,0,4,4,4,1,0,0,39,39,0
51,4,25905,15,9.0,2,1,0,4,1,0,0,39,39,0
20,4,20672,11,8.0,2,14,0,4,1,0,0,49,39,0
14,4,17610,11,8.0,0,12,4,3,0,0,0,39,26,0
45,4,11469,11,8.0,2,7,0,4,1,0,0,39,39,1
14,4,17210,2,7.0,4,12,3,4,1,0,0,31,39,0
8,4,18490,1,6.0,2,7,0,4,1,0,0,39,39,0
29,6,3740,11,8.0,6,8,2,4,0,0,0,39,39,0
41,4,2989,11,8.0,2,4,0,4,1,0,0,44,39,0
33,4,9295,0,5.0,0,1,4,4,0,0,0,39,39,0
29,4,18657,11,8.0,2,14,0,4,1,112,0,43,39,1
17,4,10482,9,12.0,2,10,0,4,1,0,0,39,39,1
10,4,12287,9,12.0,2,4,0,4,1,0,0,39,39,0
11,2,4880,15,9.0,2,11,0,4,1,0,0,39,39,1
15,4,12230,11,8.0,4,1,2,4,0,0,0,34,39,0
36,1,14631,11,8.0,0,13,4,4,1,0,0,39,39,0
13,4,11940,11,8.0,2,8,2,4,0,0,0,39,39,0
14,4,4378,0,5.0,0,7,1,4,1,0,0,39,39,0
13,4,14166,12,13.0,2,10,0,1,1,0,0,39,39,1
53,4,14918,1,6.0,2,14,0,4,1,0,0,39,39,0
8,4,17906,11,8.0,2,13,2,4,0,0,0,47,39,1
15,4,26887,9,12.0,4,10,1,2,0,0,0,39,39,0
5,2,8366,15,9.0,4,4,3,4,0,0,0,24,39,0
40,4,12027,8,10.0,0,4,4,4,0,0,0,49,39,0
9,4,25686,11,8.0,2,12,0,4,1,45,0,39,39,0
40,4,26555,9,12.0,2,10,0,4,1,0,0,54,39,1
19,4,13202,15,9.0,2,7,0,4,1,0,0,39,39,0
40,4,9178,3,1.0,3,8,1,4,1,0,0,34,0,0
22,4,13655,11,8.0,4,1,1,4,0,0,0,39,39,0
14,4,10780,0,5.0,0,8,1,4,1,0,0,39,39,0
26,4,26024,15,9.0,0,6,1,2,1,0,0,39,39,0
17,4,3777,11,8.0,2,14,0,2,1,0,0,39,39,0
23,4,57,15,9.0,4,3,2,0,1,0,0,29,39,0
26,4,24971,11,8.0,0,3,1,4,1,0,0,39,39,0
2,4,2321,11,8.0,4,12,3,4,0,0,0,34,39,0
26,4,12438,11,8.0,5,7,1,4,0,0,0,43,39,0
18,6,7289,15,9.0,2,3,0,0,1,0,0,59,39,0
1,0,15553,15,9.0,4,0,3,4,1,0,0,39,39,0
24,4,168,11,8.0,0,14,4,4,1,97,0,39,39,0
18,4,15779,9,12.0,2,10,0,1,1,0,0,39,30,1
30,4,7144,11,8.0,0,3,1,4,1,0,0,39,39,1
5,4,985,9,12.0,4,10,1,4,0,0,0,14,11,0
