age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
4,4,11630,11,8.184258683561344,2,7,0,4,1,0,0,39,39,1
5,4,18472,1,8.008260385245698,2,3,0,4,1,0,0,39,39,0
15,4,6799,1,7.058749263649098,0,8,1,4,0,0,0,40,39,0
3,6,14663,11,8.087221714184038,2,10,0,4,1,114,0,39,39,1
15,6,3161,11,6.3794840812452795,0,12,5,4,0,0,55,36,39,0
5,4,7730,9,8.062139427883096,2,14,0,4,1,104,0,39,39,1
3,4,2064,7,8.106233416438478,0,12,1,4,0,0,0,38,39,0
4,4,1471,12,10.728449978453636,0,10,3,3,1,0,0,53,2,1
30,4,18024,1,8.086770900855079,0,11,1,4,0,0,0,39,39,0
15,4,-1221,1,8.94492550717914,4,8,1,4,0,0,0,4,39,0
4,4,10596,11,7.931355563519967,2,3,0,4,1,0,0,50,39,0
28,4,16364,11,7.983933937007283,5,0,3,4,0,0,0,8,39,0
30,1,26980,11,8.083081912371092,2,4,0,4,1,62,0,52,39,1
28,7,8612,11,11.808261452399915,0,10,3,4,0,0,0,34,39,0
5,5,16064,11,8.026246235065926,0,12,1,2,0,0,0,20,39,0
16,4,5013,1,10.027749250742644,4,10,3,4,0,0,0,10,39,0
16,4,23669,3,6.866666905726192,2,4,3,4,1,0,0,20,26,0
28,4,25604,9,8.056480704818304,4,6,5,4,1,0,0,39,39,0
13,4,10392,1,6.727689238850979,0,7,1,4,0,0,0,38,39,0
4,4,18190,7,8.985028878956264,0,1,5,4,0,0,0,15,39,0
4,4,5748,11,7.9414372406809095,2,10,0,4,1,0,0,57,39,0
5,5,15158,1,9.059702514373823,0,3,5,4,0,0,0,38,39,0
14,4,22183,9,3.420599725418279,2,5,0,4,1,0,0,39,39,0
15,4,5260,9,8.023996421261609,0,4,1,4,1,0,0,23,39,0
6,4,21033,12,12.30957012059365,0,8,1,4,1,0,0,38,39,1
29,4,12358,11,7.978256568755535,2,3,0,4,1,109,0,54,39,1
30,4,1392,11,8.06354490415628,2,3,0,4,1,108,0,49,39,0
5,4,22338,9,8.011909751330586,2,10,1,4,1,0,0,45,39,0
4,4,11639,7,6.165947639645829,4,8,1,4,1,0,0,38,11,0
30,0,21287,1,8.00781786464971,2,8,4,4,0,0,55,20,39,1
3,5,10048,11,12.47683161034635,1,7,3,4,0,0,0,29,39,0
3,4,3741,1,4.988970504524078,0,1,4,4,0,0,0,24,39,0
5,4,24914,11,8.176157398171101,2,3,0,4,1,108,0,39,26,1
4,4,6579,15,6.153359726935651,6,1,1,4,0,0,50,23,39,0
30,2,1142,1,5.844873566697502,4,6,1,4,1,0,0,38,39,0
3,4,18268,11,5.767064573525908,0,10,1,4,1,0,0,16,39,0
5,4,18946,11,8.979903947148957,0,14,1,4,0,0,52,34,39,0
3,4,14600,11,8.122097111099041,2,11,0,4,1,0,0,51,39,1
3,4,9264,12,6.114001138930345,4,8,1,2,0,0,0,39,39,0
4,4,5857,9,3.830700756827079,0,0,1,4,0,0,0,21,39,0
29,4,7694,9,7.954223411082486,0,0,5,4,0,0,0,37,39,0
27,4,3544,11,8.096301346250566,4,6,0,4,1,0,0,29,39,0
5,4,12295,11,10.451287530633316,0,10,1,4,1,0,0,39,3,0
28,1,5137,9,6.088782416648424,4,0,4,4,0,0,0,39,39,0
27,6,5862,12,4.351958265190503,0,4,4,4,0,0,0,55,39,0
3,4,12593,11,8.170320430301002,0,8,1,4,0,0,0,29,39,0
15,4,10136,11,13.257081606786048,0,4,1,4,1,0,0,39,39,0
4,4,1588,9,9.095620982828116,0,5,3,4,0,0,0,33,39,0
