Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,1.0,0.0,1871.0,4776.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,272.0,0.0,4673.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1871.0,4776.0,0.0,0.0,2.0,3.0,0.0,8.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,4.0,1725.0,4744.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,10.0,3674.0,1391.0,4164.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0
0.0,0.0,0.0,0.0,19.0,862.0,1253.0,2714.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1871.0,4776.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1871.0,4776.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0
0.0,0.0,0.0,0.0,2.0,124.0,0.0,4673.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,4197.0,0.0,2443.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,2432.0,0.0,4453.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,16.0,2498.0,1352.0,2852.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,7.0,1717.0,0.0,3101.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,478.0,0.0,4453.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,300.0,0.0,4673.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0
2.0,490.0,0.0,0.0,23.0,6897.0,841.0,1639.0,0.0,0.0,2.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1871.0,4776.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,13.0,2063.0,0.0,492.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
0.0,0.0,0.0,0.0,2.0,94.0,0.0,4673.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,20.0,8367.0,0.0,755.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,8.0,736.0,0.0,559.0,0.0,5.0,2.0,1.0,1.0,4.0,0.0,2.0,1.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,1871.0,4776.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,526.0,0.0,3473.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,28.0,0.0,4673.0,0.0,4.0,2.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1871.0,4776.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0
0.0,0.0,0.0,0.0,5.0,874.0,0.0,3837.0,0.0,0.0,2.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0
4.0,631.0,0.0,0.0,32.0,5606.0,318.0,697.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,354.0,1725.0,4673.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,267.0,0.0,4164.0,0.0,1.0,2.0,1.0,5.0,0.0,2.0,2.0,0.0,0.0
1.0,13.0,1.0,0.0,45.0,6734.0,1690.0,4178.0,2360.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,108.0,0.0,4673.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,362.0,0.0,4453.0,0.0,0.0,2.0,0.0,1.0,5.0,5.0,2.0,1.0,0.0
0.0,0.0,0.0,0.0,8.0,1243.0,0.0,2758.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,10.0,1067.0,1667.0,4574.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,14.0,2344.0,1189.0,3101.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,52.0,7556.0,1230.0,2202.0,0.0,0.0,2.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,8.0,2396.0,1492.0,4305.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0
2.0,96.0,0.0,0.0,5.0,1829.0,0.0,3101.0,0.0,4.0,2.0,1.0,1.0,7.0,3.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,7.0,267.0,1545.0,4508.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,9.0,2926.0,0.0,2443.0,0.0,0.0,2.0,1.0,4.0,0.0,5.0,2.0,0.0,0.0
1.0,27.0,0.0,0.0,46.0,8857.0,0.0,67.0,0.0,0.0,2.0,1.0,1.0,7.0,3.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,53.0,0.0,4453.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,15.0,1898.0,0.0,398.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,103.0,0.0,4164.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,417.0,0.0,4164.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0
