age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,cluster
15,4,4225,11,8,2,6,0,4,1,0,0,39,38,0,1
26,6,1942,15,9,2,5,0,4,1,0,0,79,38,0,103
35,4,4037,11,8,6,14,1,4,1,0,0,39,38,0,1
10,6,930,11,8,4,11,1,4,1,0,0,29,38,0,102
19,4,2455,15,9,2,4,5,4,0,0,0,34,38,1,102
27,5,1136,9,12,2,4,0,4,1,77,0,67,38,1,103
15,4,64,11,8,2,14,0,4,1,0,0,39,38,0,1
14,4,806,12,13,0,4,1,4,0,0,0,39,38,0,1
38,4,3580,15,9,2,10,0,4,1,0,0,39,38,1,103
23,4,252,11,8,4,7,1,4,1,0,0,44,38,0,1
2,0,4471,11,8,4,0,3,4,0,0,0,14,38,0,102
14,4,1281,11,8,4,5,1,2,0,0,0,59,38,0,102
10,4,1061,11,8,5,3,1,4,1,0,0,44,38,0,1
38,4,2735,11,8,2,14,0,4,1,61,0,39,38,1,103
4,4,1311,15,9,4,1,3,4,1,0,0,39,38,0,0
29,4,3758,11,8,0,4,4,4,0,0,0,39,38,0,0
16,1,1854,7,11,4,1,4,2,0,0,0,39,38,0,102
33,4,2217,8,10,2,10,0,4,1,0,0,39,38,1,103
26,4,1874,11,8,4,7,3,4,1,0,0,39,38,0,0
37,4,4105,15,9,2,3,0,4,1,0,0,39,38,1,103
14,4,92,7,11,2,3,0,4,1,0,0,39,38,0,1
8,4,3695,15,9,4,12,1,4,1,0,0,29,38,0,102
16,0,1939,11,8,0,0,1,1,0,0,0,40,3,0,102
7,4,1382,15,9,4,12,3,4,0,0,0,14,38,0,102
16,4,3360,9,12,2,12,0,4,1,0,0,39,38,1,103
16,4,2263,12,13,2,10,5,4,0,52,0,9,38,1,102
34,4,2142,11,8,2,3,0,4,1,61,0,49,38,1,103
3,4,3134,11,8,4,12,1,4,1,0,0,29,38,0,102
41,6,1509,9,12,2,5,0,4,1,0,0,34,38,0,103
29,4,3703,11,8,2,7,0,4,1,0,0,39,38,0,1
42,1,2365,11,8,2,1,0,4,1,0,0,39,38,1,103
2,0,1158,15,9,4,0,2,4,0,0,0,14,38,0,102
28,6,3469,9,12,2,3,0,4,1,0,0,39,38,1,103
6,4,2102,11,8,6,4,4,4,1,0,0,37,38,0,0
34,4,385,11,8,2,3,0,0,1,0,0,39,38,0,102
1,0,76,15,9,4,0,3,4,0,0,0,19,38,0,102
31,2,3537,7,11,5,1,1,2,0,0,0,39,38,0,102
39,6,3085,1,6,2,3,0,4,1,0,0,39,38,0,101
12,4,3094,9,12,2,12,0,4,1,0,0,39,38,1,103
25,4,312,11,8,2,8,0,4,1,0,0,39,0,0,103
26,4,4508,14,14,2,10,0,4,1,77,0,59,38,1,103
27,1,200,9,12,6,4,4,4,0,0,0,39,38,1,102
14,4,702,9,12,2,3,0,4,1,0,0,45,38,0,1
1,0,1717,15,9,4,0,3,4,0,0,0,29,38,0,102
25,4,2756,8,10,0,3,1,4,1,0,0,34,38,0,1
25,4,1274,11,8,2,7,0,4,1,0,0,39,38,0,1
21,2,2634,11,8,2,3,0,4,1,0,0,49,38,1,103
7,4,3019,12,13,4,10,3,4,0,0,0,39,38,0,0
21,4,3388,9,12,0,4,1,4,1,57,0,59,38,0,103
31,4,1855,0,5,4,7,1,4,1,0,0,39,38,0,101
21,1,2571,11,8,0,10,4,4,0,0,0,39,38,0,102
43,6,2094,6,4,2,5,0,4,1,0,23,75,38,0,100
11,2,3968,11,8,0,11,1,4,0,0,0,39,38,0,102
27,4,137,11,8,0,8,4,4,0,0,0,39,38,0,0
6,4,1123,9,12,4,4,3,4,0,0,0,59,38,0,102
20,4,3754,15,9,0,1,4,4,0,74,0,24,38,1,103
12,4,4131,9,12,4,12,1,4,0,0,0,59,38,0,102
6,4,2319,9,12,4,1,1,4,0,0,0,4,38,0,102
20,4,89,15,9,2,3,0,4,1,0,0,39,38,0,1
27,5,300,15,9,0,8,4,4,1,0,0,73,38,0,103
21,2,1636,11,8,4,14,1,4,1,0,0,39,38,0,102
12,4,940,9,12,2,10,5,3,0,0,0,39,38,0,102
25,4,4560,9,12,2,10,0,4,1,0,0,44,38,1,103
6,4,3362,11,8,4,8,1,2,0,30,0,54,38,0,102
12,0,2553,11,8,2,0,1,4,0,0,0,26,38,0,102
30,4,257,11,8,0,4,4,4,0,0,0,44,38,0,0
38,4,4499,11,8,0,3,4,4,1,0,0,39,38,0,1
3,4,4026,11,8,4,1,3,4,1,0,0,39,38,0,0
