age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Target,cluster
8,8,2,2,0,731,1,0,0,10,8,443,1,322,1,1,0,101
17,4,1,2,0,526,1,0,0,19,0,803,0,0,0,3,1,102
37,0,1,1,0,3493,0,0,0,12,10,133,0,78,2,0,0,101
26,4,1,2,0,2340,0,1,0,25,8,157,2,0,0,3,0,100
41,5,1,2,0,3047,0,0,0,17,9,92,1,0,0,3,0,0
7,1,2,1,0,768,1,0,0,17,8,652,1,0,0,3,0,102
32,10,1,1,0,675,1,0,2,17,6,303,5,0,0,3,0,3
27,0,2,1,0,390,1,0,0,6,8,99,0,254,1,0,0,101
16,4,1,2,0,845,0,0,2,20,8,169,4,0,0,3,0,3
29,0,1,1,0,1122,1,0,0,12,8,195,1,314,2,1,0,101
29,9,1,0,0,916,1,1,0,4,8,276,0,0,0,3,0,100
37,7,0,1,0,2244,1,0,2,27,8,21,16,0,0,3,0,100
13,0,1,1,0,506,0,0,0,13,5,75,2,0,0,3,0,0
10,9,2,1,0,1740,0,0,0,26,3,77,0,0,0,3,1,102
18,2,1,1,0,667,1,0,0,14,5,134,1,0,0,3,0,0
31,1,1,1,0,1330,1,1,1,7,8,99,0,0,0,3,0,100
14,3,1,2,0,839,1,0,0,2,3,131,2,42,2,0,0,101
16,4,1,2,0,2744,0,0,0,2,6,86,1,0,0,3,0,0
17,9,1,1,0,489,1,0,0,10,8,202,1,299,2,0,0,101
28,4,0,2,0,3055,0,0,0,20,0,444,0,0,0,3,0,0
17,7,1,1,0,1809,1,0,2,27,8,197,0,0,0,3,0,3
12,0,2,1,0,1680,1,0,0,5,8,344,2,307,2,1,0,101
11,1,2,1,0,705,0,0,0,23,5,987,0,0,0,3,0,102
56,5,1,0,0,483,0,0,1,3,11,111,0,0,0,3,0,100
11,10,2,1,0,1004,0,0,0,4,3,349,0,0,0,3,0,0
17,0,2,2,0,635,1,0,0,12,8,35,2,255,3,1,0,101
22,10,0,1,0,2936,1,0,0,3,3,111,0,0,0,3,0,0
10,0,2,1,0,2060,0,0,0,28,4,235,0,0,0,3,0,0
26,1,1,0,0,402,0,1,0,22,5,185,3,0,0,3,0,100
30,10,1,1,0,2707,1,1,0,19,0,240,1,260,1,0,0,101
4,0,2,1,0,600,1,0,2,15,8,268,0,0,0,3,0,3
21,7,2,1,0,1493,1,0,0,13,8,147,0,0,0,3,0,3
13,7,1,1,0,791,1,0,2,22,8,144,5,0,0,3,0,3
