Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,cluster
1,9,0,0,21,2514,1253,1612,0,0,7,2,1,6,2,2,0,0,3
4,1311,3,517,12,5319,0,825,0,0,6,1,1,4,1,2,0,0,103
0,0,0,0,1,136,0,4673,0,0,1,0,1,0,1,2,0,0,101
0,0,0,0,6,1538,0,559,0,0,5,0,1,7,1,2,1,0,102
4,825,0,0,16,1270,1643,4259,0,0,6,2,1,0,3,2,0,0,3
0,0,0,0,6,526,1783,4673,0,0,6,2,1,3,2,2,0,0,3
0,0,0,0,18,1254,1603,4384,0,0,7,1,1,4,2,2,1,0,101
0,0,0,0,2,15,0,4673,0,0,1,1,3,0,1,2,0,0,101
1,426,0,0,52,7878,1279,4050,1163,0,6,1,1,2,2,2,0,0,101
0,0,0,0,6,267,0,3473,0,0,6,1,1,3,3,2,0,0,3
0,0,0,0,47,3720,0,0,0,0,0,1,3,0,1,0,0,0,102
0,0,0,0,11,5891,0,192,0,0,7,0,0,0,1,0,0,0,102
0,0,0,0,16,3923,1189,3619,0,0,5,3,1,0,2,2,0,0,3
0,0,0,0,12,2597,0,1690,0,0,5,0,0,5,9,2,0,0,102
4,1207,0,0,39,6284,688,3029,0,0,6,1,4,1,3,2,0,0,102
0,0,0,0,23,4988,497,2722,0,0,1,1,1,0,1,0,0,0,102
1,8,2,344,67,5883,333,889,0,0,5,1,5,0,0,2,0,0,102
0,0,0,0,49,7081,0,207,855,0,7,2,1,3,10,2,1,1,100
1,1320,0,0,7,1050,0,2758,2480,0,5,1,1,0,1,0,1,1,100
11,924,1,0,81,8508,0,1857,1297,0,7,0,0,6,1,2,0,1,100
6,571,2,1073,83,8728,256,1102,0,0,7,1,1,6,1,2,1,0,103
0,0,0,0,4,3127,1835,4754,0,0,5,2,2,6,9,2,0,0,101
0,0,0,0,4,792,1603,4338,0,0,1,0,0,0,1,2,0,0,101
8,956,0,0,45,8388,1116,1147,0,0,1,2,1,5,9,2,0,0,102
1,2964,0,0,6,3600,1603,4711,0,0,7,1,1,0,1,2,0,0,101
2,2489,0,0,5,2598,0,1335,0,0,6,0,0,3,1,2,1,0,102
0,0,0,0,13,1162,1571,3751,0,0,6,1,1,6,2,2,0,0,3
0,0,0,0,13,6770,1230,2226,0,0,1,1,1,0,19,2,0,0,101
0,0,0,0,5,332,0,3837,0,0,6,1,5,5,2,2,0,0,101
14,2983,2,42,33,4863,487,3556,0,0,9,0,7,0,2,2,0,0,103
0,0,2,319,16,1466,0,2598,0,0,6,1,1,0,3,2,0,0,102
0,0,0,0,32,5532,133,2067,0,0,1,1,1,0,1,2,1,0,102
4,2645,0,0,32,5810,694,852,2093,0,6,1,1,0,1,2,1,0,100
0,0,0,0,1,0,1871,4776,0,0,6,1,1,0,0,2,0,0,3
6,895,1,3,76,6480,938,1856,0,0,0,2,1,7,3,2,0,0,102
3,998,0,0,20,2273,896,234,0,0,3,0,0,1,3,0,0,0,102
0,0,1,0,28,8202,1405,3936,0,0,5,1,4,1,0,2,0,0,101
0,0,0,0,38,4156,1580,4302,0,5,6,1,1,3,12,2,1,0,101
0,0,0,0,1,0,1871,4776,0,0,7,7,1,8,2,1,0,0,101
0,0,0,0,43,8588,0,973,0,0,6,1,1,0,1,2,0,0,0
4,1092,0,0,21,4723,0,1572,0,0,1,0,0,0,7,2,0,0,102
10,1573,0,0,24,1861,0,533,0,0,6,0,0,2,1,2,0,0,102
0,0,0,0,6,1133,0,1690,0,0,1,7,12,8,19,1,0,0,101
2,17,0,0,7,483,1725,4338,0,0,7,2,1,2,10,2,1,0,101
0,0,0,0,7,1160,1545,3946,0,0,1,2,1,8,1,2,0,0,101
0,0,0,0,2,1488,0,4673,0,4,6,2,1,1,10,0,0,0,101
0,0,0,0,19,5616,0,423,0,0,0,1,3,2,1,2,0,0,102
7,1239,1,51,21,6796,0,749,0,0,1,1,1,7,1,0,1,0,102
0,0,0,0,5,2826,1847,4760,0,0,6,0,0,3,2,2,0,0,101
4,1969,0,0,12,1058,0,59,0,0,8,0,0,5,1,2,0,0,102
0,0,0,0,22,4835,0,697,968,0,6,1,1,6,3,2,1,1,100
1,27,0,0,46,8857,0,67,0,0,2,1,1,7,3,2,0,0,0
7,1622,0,0,20,1524,841,2758,0,0,8,1,1,0,2,2,0,0,0
0,0,0,0,1,0,1871,4776,0,0,6,2,1,6,0,2,0,0,3
5,1424,0,0,56,5075,0,938,1048,0,7,1,1,0,0,2,1,0,102
1,214,2,0,20,3243,921,2950,0,0,1,2,1,0,1,2,0,0,101
4,620,1,0,43,6153,1245,3653,0,0,7,2,1,0,1,2,0,1,100
4,1254,0,0,46,8046,0,1254,2215,0,8,1,1,0,1,2,0,1,100
