age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
20,6,461373,11,2,6,0,4,1,0,0,40,39,0
20,3,186716,1,4,0,3,4,1,0,0,28,39,0
48,2,215831,9,0,4,4,4,0,0,0,35,39,0
33,4,216090,15,4,8,1,4,0,0,0,40,39,0
33,5,140037,13,2,9,0,3,0,99976,0,30,39,1
34,7,207784,1,4,8,3,4,1,0,0,40,39,0
65,4,479958,15,4,4,3,4,1,0,1629,27,39,0
30,4,114988,11,5,8,2,2,0,0,0,40,39,0
45,5,226765,9,2,11,0,4,1,4998,0,48,39,1
19,4,347805,1,4,7,3,4,1,0,0,16,39,0
43,6,147115,10,2,7,0,4,1,0,0,29,39,0
32,4,356853,15,2,7,3,2,0,0,0,22,39,0
80,6,14148,15,2,3,0,4,1,0,0,75,39,1
29,4,183661,11,2,3,0,4,1,0,0,19,39,0
39,2,523581,11,3,3,0,4,0,0,0,51,39,0
59,1,45268,14,2,10,0,3,0,0,0,36,39,0
43,5,101630,9,2,4,0,2,1,0,0,40,35,0
26,4,201493,11,4,7,3,4,0,0,0,22,39,0
60,5,349990,15,2,12,0,4,1,99989,0,53,39,1
55,2,52720,14,2,10,0,4,1,99996,0,40,39,1
43,6,57906,14,2,10,0,4,1,100065,0,65,39,1
25,5,203376,9,0,1,2,3,0,0,0,9,39,0
38,6,162124,15,4,7,1,4,1,0,0,29,39,0
30,6,218709,9,5,8,1,4,0,0,0,52,39,0
60,4,120820,11,6,1,4,4,0,0,0,33,39,0
28,7,219362,11,4,2,3,4,1,0,0,40,39,0
43,5,182933,15,2,10,0,4,1,0,1626,70,39,1
41,4,112773,9,0,4,1,4,1,0,0,51,39,0
17,4,253053,11,3,7,3,4,1,0,0,40,39,0
64,4,109955,11,0,4,0,4,0,99958,0,41,39,1
44,1,343636,7,0,1,4,2,0,0,0,40,39,0
47,4,133795,11,2,3,0,4,1,0,0,22,39,0
50,4,495504,11,2,5,0,4,1,0,0,60,39,1
54,5,171853,9,2,4,0,4,1,99989,0,55,39,1
41,4,40428,11,0,8,4,4,0,0,0,68,39,0
46,4,205258,9,2,8,5,4,0,100014,0,40,39,1
35,6,140661,1,2,7,3,4,1,1633,0,18,39,0
18,2,144271,15,4,8,3,4,0,0,0,29,39,0
81,0,135097,15,6,0,1,4,1,0,1635,40,35,0
40,7,44733,15,2,3,0,2,1,0,0,40,39,0
39,2,190078,11,2,8,0,4,0,0,0,22,39,0
26,4,276320,11,4,7,1,2,0,0,0,40,39,0
69,0,218597,15,4,0,3,4,0,0,0,29,39,0
36,2,51455,15,2,10,0,4,1,0,0,40,39,1
44,4,46686,15,2,3,0,4,1,100028,0,49,39,1
41,0,215484,11,0,0,1,4,1,0,0,40,39,0
43,6,161012,10,2,10,0,4,0,100089,0,41,37,1
65,7,210144,9,2,10,0,4,1,0,0,40,39,1
27,4,67123,11,2,6,0,1,1,99972,0,40,39,1
41,4,183027,11,2,4,0,4,1,0,0,26,39,1
53,6,77580,9,2,4,0,4,1,100008,0,53,39,1
35,4,240820,11,2,7,0,4,1,4746,0,48,2,1
39,6,39332,10,4,7,1,4,0,99908,0,45,41,0
75,5,102511,12,2,10,0,4,1,0,0,56,39,1
33,5,105698,14,1,10,4,2,0,99940,0,38,39,1
59,5,151139,11,6,5,1,4,0,5421,0,32,39,1
40,4,182996,8,2,3,0,0,1,0,0,40,39,1
45,4,184694,9,2,5,0,4,1,100032,0,60,39,1
50,4,95750,11,2,7,0,4,1,0,0,40,39,1
44,4,138590,11,4,3,2,2,0,0,0,23,35,0
55,5,54066,8,6,1,1,4,0,0,0,29,39,0
53,4,50334,11,4,3,1,4,1,0,0,24,39,0
31,7,49105,7,0,1,4,2,0,0,0,39,28,0
31,4,120335,9,2,8,2,4,0,0,0,5,39,0
48,6,209598,9,2,10,0,4,1,4596,0,40,39,1
42,4,250439,15,2,10,0,4,1,29512,0,40,39,1
43,4,55140,15,2,10,0,4,0,4942,0,40,39,1
28,6,275453,15,2,12,0,2,1,0,1636,31,39,0
45,6,215470,10,2,7,0,4,1,4484,0,40,39,1
38,6,236553,9,2,14,0,1,1,0,0,40,27,0
41,6,187008,11,2,3,0,4,1,99946,0,49,39,1
43,6,206544,11,2,3,0,2,1,0,0,40,39,1
38,4,109472,11,2,3,0,4,1,2703,0,40,39,0
41,4,41329,13,0,3,4,2,0,0,0,43,39,0
49,5,51746,14,2,10,0,4,1,99999,0,60,27,1
24,4,212747,9,0,9,3,4,0,0,0,40,39,0
44,4,181057,11,2,7,0,4,0,5051,0,48,39,1
65,0,189839,5,2,0,0,3,1,0,0,13,27,0
19,7,177912,15,4,1,3,4,1,0,0,40,39,0
20,4,217998,11,2,11,0,4,1,99966,0,40,39,1
35,4,354129,11,2,12,0,4,1,0,0,16,39,1
37,2,306742,9,2,7,0,4,1,99965,0,54,39,1
